F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129
               Housing and community development,"49,870,633",0.88,"499,373",5.97,"346,156",0.09,"452,383",1.05,"186,799",4.46,"8,045,955",4.20,"914,760",6.96,"886,082",3.65,"146,549",0.00,"678,972",0.00,"2,286,631",2.78,"1,225,726",3.09,"264,639",0.00,"147,060",1.03,"1,984,036",5.61,"828,612",1.89,"258,115",2.29,"279,827",7.45,"452,178",0.74,"717,885",0.66,"284,021",1.64,"1,441,189",0.18,"2,782,713",2.91,"1,107,947",1.52,"1,026,932",7.48,"278,203",3.18
               Sewerage,"55,546,392",0.65,"386,109",3.48,"114,002",1.13,"725,605",2.94,"317,124",2.30,"8,674,630",2.61,"956,777",7.40,"642,347",0.65,"193,204",0.00,"592,945",0.00,"3,488,479",3.12,"1,178,268",3.24,"422,493",0.00,"216,433",5.31,"2,120,313",3.83,"991,706",3.15,"508,695",6.11,"368,751",0.69,"670,197",1.53,"781,781",1.25,"193,650",6.01,"1,365,623",0.76,"1,225,203",1.47,"2,362,490",5.01,"909,965",3.95,"316,490",3.39
                    Capital outlay,"20,041,737",1.25,"114,866",4.57,"23,373",0.31,"223,975",8.80,"125,936",4.16,"3,414,335",4.14,"375,290",14.73,"289,781",0.42,"64,634",0.00,"426,293",0.00,"948,170",5.86,"248,730",8.68,"254,739",0.00,"76,187",2.22,"889,920",6.47,"314,930",5.69,"148,474",19.67,"95,108",1.14,"317,621",1.64,"408,434",1.14,"51,728",17.06,"307,538",0.00,"449,351",1.66,"490,566",21.16,"141,405",16.52,"152,024",4.28
               Solid waste management,"24,666,426",0.63,"281,704",4.55,"142,848",0.61,"423,847",1.43,"223,458",3.37,"3,307,309",3.25,"141,989",9.83,"298,144",0.80,"87,102",0.00,"118,357",0.00,"2,536,450",2.59,"653,652",3.25,"239,888",0.00,"163,114",1.04,"566,937",3.21,"239,009",3.91,"285,352",1.90,"165,797",2.81,"226,005",2.05,"357,982",1.18,"116,700",3.44,"1,002,719",0.45,"408,718",0.91,"497,773",4.00,"360,767",2.91,"193,303",3.85
                    Capital outlay,"2,250,447",1.34,"27,710",10.55,"50,034",0.00,"41,726",2.10,"14,118",16.69,"169,210",10.43,"19,432",4.01,"18,183",1.52,"7,176",0.00,"2,302",0.00,"112,037",3.05,"38,790",8.87,"22,160",0.00,"11,705",0.30,"55,992",20.33,"10,271",15.89,"36,373",6.21,"10,326",9.54,"17,023",2.40,"21,381",0.13,"3,389",6.27,"372,905",0.06,"24,039",6.78,"13,544",5.11,"20,858",12.85,"12,747",12.40
     Governmental administration:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Financial administration,"44,186,638",0.21,"613,407",1.98,"356,156",0.63,"551,930",0.67,"659,614",0.76,"5,409,304",0.93,"837,623",1.22,"679,403",0.28,"215,263",0.00,"280,169",0.00,"2,453,079",1.35,"1,036,723",1.53,"271,727",0.00,"285,192",0.64,"1,823,168",2.12,"563,928",0.59,"439,813",0.98,"360,303",1.92,"489,452",0.35,"736,533",0.99,"258,015",0.90,"1,088,234",0.29,"978,889",0.78,"1,087,940",0.92,"854,095",0.91,"438,704",1.07
               Judicial and legal,"46,544,337",0.21,"362,247",1.46,"254,253",0.25,"971,356",0.34,"222,794",0.91,"8,676,531",0.14,"824,632",0.61,"729,646",0.05,"199,184",0.00,"132,515",0.00,"2,518,119",0.22,"1,307,792",1.02,"300,445",0.00,"199,191",0.16,"1,595,541",0.52,"595,053",1.43,"351,255",0.93,"317,342",2.26,"629,502",0.15,"694,434",0.28,"106,923",0.28,"929,100",0.04,"1,167,817",0.09,"1,167,757",1.85,"747,520",0.72,"272,804",1.05
               General public buildings,"14,848,760",0.49,"110,021",3.66,"90,046",0.84,"250,478",0.95,"37,536",3.54,"812,671",0.77,"313,314",7.56,"120,898",1.00,"98,874",0.00,"206,826",0.00,"310,232",1.07,"373,159",4.66,"152,639",0.00,"86,046",0.46,"619,510",1.94,"105,166",3.15,"141,766",3.60,"120,095",3.67,"96,894",3.72,"127,245",0.73,"79,606",1.72,"345,778",0.55,"905,482",1.45,"210,561",3.95,"447,539",0.91,"88,677",2.63
               Other governmental administration,"33,559,295",0.82,"459,648",3.23,"295,111",0.89,"620,429",1.86,"229,147",2.82,"6,064,113",4.05,"868,629",2.85,"747,551",0.78,"134,830",0.00,"79,166",0.00,"1,226,455",2.80,"945,483",3.00,"144,235",0.00,"125,278",2.03,"1,679,882",3.75,"748,203",4.33,"218,980",1.77,"345,766",2.35,"482,802",1.19,"523,853",1.46,"151,806",2.96,"652,512",0.64,"425,244",0.69,"714,038",1.74,"632,287",1.50,"254,126",2.41
     Interest on general debt,"105,221,185",0.13,"1,006,207",1.04,"282,646",0.08,"1,486,637",0.72,"484,624",1.86,"16,809,120",0.60,"2,040,783",1.39,"1,879,583",0.11,"306,814",0.00,"561,678",0.00,"4,156,513",0.84,"1,429,095",0.81,"340,275",0.00,"236,411",0.50,"6,708,523",0.40,"1,915,694",0.45,"613,045",2.16,"841,505",0.57,"1,401,365",0.35,"1,537,890",0.13,"275,973",0.45,"2,004,580",0.13,"2,895,229",0.16,"3,135,578",0.44,"1,666,141",0.54,"482,488",1.04
"     General expenditure, n.e.c.:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Miscellaneous commercial activities,"7,330,017",3.18,"20,738",20.78,"285,377",3.63,"2,155",36.69,"47,177",0.14,"4,586,016",5.02,"114,036",3.64,"4,706",1.92,9,0.00,0,0.00,"786,570",0.19,"53,235",7.99,394,0.00,"40,481",1.12,"21,842",20.82,"17,586",4.74,"55,820",3.26,"16,945",15.40,"65,771",0.92,"63,554",0.77,"7,066",4.71,"38,216",0.28,"20,675",0.16,"106,921",1.73,"44,693",6.44,"5,702",6.58
               Other and unallocable,"126,843,661",0.34,"1,528,324",2.14,"1,333,042",0.50,"1,433,339",1.35,"386,540",1.28,"12,279,485",2.03,"2,225,260",4.05,"2,872,374",0.74,"222,236",0.00,"824,792",0.00,"6,138,777",2.03,"2,052,664",2.39,"1,428,160",0.00,"313,962",1.05,"5,485,922",1.63,"1,779,203",2.28,"1,368,010",2.29,"1,018,914",2.09,"1,061,219",0.77,"1,649,751",0.91,"679,070",1.81,"3,275,826",0.33,"6,631,183",0.59,"3,462,806",2.05,"1,820,828",2.04,"669,415",2.58
     Utility expenditure,"223,524,550",0.30,"3,002,048",4.05,"830,825",0.60,"5,537,984",0.68,"987,246",1.74,"40,883,140",1.18,"4,549,461",2.60,"1,501,501",1.17,"547,992",0.00,"3,314,303",0.00,"10,945,998",1.45,"5,908,847",1.82,"1,259,732",0.00,"250,850",2.39,"8,828,134",1.51,"2,882,974",2.62,"1,297,737",2.52,"1,604,884",0.87,"2,102,929",1.78,"1,500,268",1.07,"204,211",8.49,"2,705,248",0.28,"6,289,650",0.47,"3,426,065",2.65,"2,834,570",1.57,"901,583",4.30
               Capital outlay,"50,707,889",0.51,"377,396",5.54,"218,331",1.10,"1,345,171",1.04,"159,300",4.88,"10,635,721",1.50,"1,674,072",2.88,"318,256",1.49,"43,266",0.00,"1,365,005",0.00,"1,663,409",2.94,"931,021",3.02,"708,445",0.00,"66,146",4.75,"2,224,368",2.25,"632,718",2.90,"270,849",4.11,"330,017",1.91,"412,577",5.33,"322,746",3.06,"65,364",25.33,"748,683",0.00,"1,878,991",0.56,"725,936",11.19,"553,681",3.65,"142,720",7.54
          Water supply,"68,865,596",0.65,"937,722",2.76,"154,509",1.77,"1,337,004",1.92,"486,871",3.23,"16,085,142",2.06,"1,755,383",4.93,"412,434",2.31,"97,842",0.00,"316,763",0.00,"4,223,028",2.15,"2,179,157",2.25,"363,774",0.00,"144,824",3.23,"2,971,872",2.90,"746,687",3.25,"613,501",2.81,"694,947",1.79,"982,360",3.64,"611,444",1.82,"153,411",11.25,"1,394,537",0.53,"1,173,946",1.22,"1,626,517",5.34,"711,863",2.44,"327,108",4.28
          Electric power,"75,542,844",0.58,"1,635,264",7.10,"452,327",0.91,"3,395,738",0.80,"455,628",1.53,"10,995,567",2.81,"1,026,758",7.79,"426,739",2.37,"313,062",0.00,0,0.00,"4,552,410",2.85,"2,192,296",3.63,0,0.00,"77,302",4.48,"1,030,237",5.67,"1,166,118",6.13,"530,361",5.18,"827,132",0.76,"634,094",1.62,"556,193",1.81,"13,208",0.96,"70,957",2.17,"1,398,511",1.66,"1,128,808",1.98,"1,463,069",2.79,"423,379",7.80
          Gas supply,"6,991,956",1.16,"361,776",6.86,"170,295",0.00,"52,766",4.38,"3,232",9.92,"234,460",10.68,"157,213",0.74,"21,611",0.07,0,0.00,0,0.00,"215,152",2.93,"800,030",6.63,0,0.00,36,12.63,"64,099",17.60,"742,859",0.62,"51,338",4.91,"33,175",3.44,"290,035",1.69,"93,409",5.91,290,0.00,164,48.92,"45,995",0.00,0,0.00,"102,656",0.60,"132,102",10.38
          Transit,"72,124,154",0.28,"67,286",1.74,"53,694",0.00,"752,476",0.61,"41,515",2.18,"13,567,971",1.20,"1,610,107",0.51,"640,717",1.69,"137,088",0.00,"2,997,540",0.00,"1,955,408",0.39,"737,364",0.03,"895,958",0.00,"28,688",4.94,"4,761,926",1.74,"227,310",0.41,"102,537",2.92,"49,630",0.28,"196,440",0.10,"239,222",0.13,"37,302",4.50,"1,239,590",0.01,"3,671,198",0.33,"670,740",2.07,"556,982",0.67,"18,994",27.44
     Liquor store expenditure,"7,742,285",0.27,"321,268",0.00,"3,065",64.60,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"120,067",0.00,0,0.00,0,0.00,"200,372",0.00,0,0.00,"5,710",0.00,0,0.00,0,0.00,"264,764",0.00,0,0.00,"824,929",0.00,"277,746",5.11,"279,212",0.00
     Insurance trust expenditure,"337,320,086",0.13,"3,776,172",0.11,"1,362,870",0.00,"4,711,062",0.02,"1,998,244",0.04,"61,464,559",0.17,"5,909,226",0.88,"5,496,922",3.29,"781,858",0.30,"508,838",0.00,"11,426,528",1.50,"7,435,773",1.52,"1,385,193",0.00,"1,095,698",0.00,"19,884,220",0.57,"2,961,555",0.17,"2,524,535",0.00,"1,998,912",0.00,"4,468,502",0.09,"4,649,734",0.26,"997,403",0.00,"5,878,770",2.78,"8,519,973",0.59,"9,575,071",0.66,"5,490,880",0.05,"2,645,918",0.00
          Unemployment compensation,"32,533,195",0.00,"196,704",0.00,"132,158",0.00,"278,520",0.00,"204,938",0.00,"5,397,144",0.00,"547,071",0.00,"687,975",0.00,"75,790",0.00,"114,633",0.00,"452,374",0.00,"394,407",0.00,"139,675",0.00,"102,290",0.00,"1,943,616",0.00,"333,332",0.00,"434,566",0.00,"229,823",0.00,"343,923",0.00,"214,794",0.00,"106,232",0.00,"545,496",0.00,"1,492,307",0.00,"849,313",0.00,"836,710",0.00,"99,402",0.00
          Employee retirement,"289,473,759",0.15,"3,579,468",0.11,"1,225,837",0.00,"4,432,542",0.02,"1,778,727",0.05,"49,501,952",0.21,"4,937,952",1.05,"4,782,401",3.79,"700,844",0.33,"394,205",0.00,"10,917,278",1.57,"6,995,262",1.61,"1,245,518",0.00,"852,336",0.00,"17,927,778",0.63,"2,621,792",0.19,"2,083,503",0.00,"1,769,089",0.00,"3,895,017",0.11,"4,346,890",0.28,"891,171",0.00,"5,088,766",3.22,"6,976,846",0.73,"8,710,069",0.73,"4,608,220",0.06,"2,546,516",0.00
          Workers' compensation,"8,876,781",0.00,0,0.00,"4,875",0.00,0,0.00,"14,579",0.00,"993,148",0.00,"409,590",0.00,"26,546",0.00,"5,224",0.00,0,0.00,"56,876",0.00,0,0.00,0,0.00,"141,072",0.00,"12,543",0.00,"6,431",0.00,"6,466",0.00,0,0.00,"229,562",0.00,"58,768",0.00,0,0.00,"184,637",0.00,"47,260",0.00,"15,689",0.00,"45,950",0.00,0,0.00
          Other insurance trust,"6,436,351",0.00,0,0.00,0,0.00,0,0.00,0,0.00,"5,572,315",0.00,"14,613",0.00,0,0.00,0,0.00,0,0.00,0,0.00,"46,104",0.00,0,0.00,0,0.00,283,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"29,282",0.00,0,0.00,"59,871",0.00,"3,560",0.00,0,0.00,0,0.00,0,0.00
            Debt outstanding,"3,022,488,341",0.21,"29,490,599",2.70,"9,383,122",0.07,"48,534,388",0.37,"18,654,310",5.23,"437,899,643",0.90,"54,029,016",1.66,"48,078,777",0.11,"7,585,973",0.00,"14,520,507",0.00,"139,264,317",0.85,"57,020,891",0.84,"15,357,398",0.00,"6,140,069",0.88,"151,844,994",0.53,"51,115,308",0.43,"18,508,033",1.31,"27,988,201",0.65,"39,063,952",0.85,"37,562,375",1.90,"7,913,256",0.94,"52,294,032",0.10,"95,752,932",0.17,"72,933,428",0.65,"52,307,230",0.58,"14,040,855",0.95
Short-term,"34,371,118",0.72,"292,985",2.06,"190,374",0.00,"277,831",2.74,"9,461",0.00,"803,919",5.26,"135,882",43.82,"540,540",0.75,4,0.00,"91,200",0.00,"100,125",0.00,"579,029",3.93,0,0.00,"12,265",0.00,"1,231,650",0.00,"465,614",0.00,"41,702",3.13,"279,156",3.13,"92,775",6.64,"48,249",0.00,"14,569",27.39,"868,880",0.06,"1,734,482",2.43,"1,331,888",0.23,"57,425",7.12,"31,799",0.00
Long-term,"2,988,117,223",0.21,"29,197,614",2.73,"9,192,748",0.08,"48,256,557",0.37,"18,644,849",5.23,"437,095,724",0.90,"53,893,134",1.66,"47,538,237",0.12,"7,585,969",0.00,"14,429,307",0.00,"139,164,192",0.85,"56,441,862",0.85,"15,357,398",0.00,"6,127,804",0.88,"150,613,344",0.54,"50,649,694",0.44,"18,466,331",1.31,"27,709,045",0.66,"38,971,177",0.85,"37,514,126",1.90,"7,898,687",0.95,"51,425,152",0.10,"94,018,450",0.17,"71,601,540",0.66,"52,249,805",0.58,"14,009,056",0.95
     Public debt for private purposes,"555,248,039",0.40,"800,673",3.42,"3,351,276",0.00,"9,970,889",0.81,"4,163,343",4.32,"43,757,511",2.56,"11,947,384",1.70,"12,519,281",0.09,"1,830,876",0.00,"1,117,596",0.00,"17,152,027",1.14,"6,565,101",4.29,"339,445",0.00,"2,632,340",0.00,"29,631,216",0.42,"15,259,236",0.23,"1,839,014",2.33,"7,998,761",1.23,"14,598,062",1.89,"12,620,995",0.00,"2,140,699",0.00,"11,856,035",0.00,"20,461,443",0.00,"16,487,813",1.22,"11,324,715",0.99,"1,389,902",5.01
Long-term debt issued,"383,430,565",0.68,"2,781,246",2.98,"1,393,354",0.00,"5,044,988",0.33,"2,500,081",1.34,"54,512,101",4.32,"6,839,003",3.05,"7,005,680",0.14,"731,738",0.00,"1,499,372",0.00,"19,095,324",2.36,"8,270,852",1.82,"3,148,627",0.00,"904,877",0.00,"17,899,594",1.80,"3,706,530",1.23,"2,568,182",5.14,"3,415,316",1.37,"4,531,193",0.92,"4,601,787",0.68,"1,276,188",3.26,"7,636,289",0.32,"10,548,115",0.67,"13,793,353",1.02,"7,063,832",1.24,"1,597,181",1.51
Long-term debt retired,"370,596,902",0.64,"3,402,316",5.15,"1,182,623",0.04,"5,091,676",0.59,"2,363,128",1.27,"48,473,472",4.31,"7,935,597",2.63,"5,233,386",0.26,"709,524",0.00,"1,007,547",0.00,"20,387,251",2.39,"6,429,561",2.26,"2,587,834",0.00,"1,064,447",2.76,"14,135,644",1.00,"4,014,579",1.17,"2,739,738",4.68,"2,590,575",0.84,"4,522,375",0.46,"5,516,378",0.66,"1,462,055",0.47,"5,465,482",0.25,"8,460,826",0.31,"17,811,337",0.80,"5,798,678",1.58,"1,880,985",1.50
            Cash and security holdings,"6,326,387,129",0.12,"60,339,532",0.27,"86,931,554",0.06,"89,214,840",0.23,"43,825,254",0.72,"1,084,721,404",0.43,"104,061,689",0.82,"64,685,914",2.39,"17,802,701",0.31,"15,454,008",0.00,"335,447,601",0.75,"143,132,529",0.64,"26,388,750",0.00,"27,832,736",0.46,"247,902,592",0.46,"82,456,322",0.36,"54,202,155",0.35,"41,707,875",2.03,"58,279,234",0.61,"84,700,514",0.28,"21,110,903",0.41,"102,389,522",1.84,"119,712,896",0.80,"150,917,924",0.61,"112,016,248",0.35,"39,522,546",0.27
Insurance trust funds,"3,795,946,050",0.12,"35,398,162",0.05,"9,928,906",0.00,"45,109,479",0.01,"26,431,645",0.04,"747,972,495",0.10,"54,923,775",1.05,"41,137,781",3.76,"9,830,357",0.56,"9,439,639",0.00,"172,352,525",1.21,"95,960,489",0.79,"15,169,128",0.00,"15,975,373",0.00,"152,128,101",0.53,"31,588,371",0.42,"33,246,960",0.00,"20,015,240",0.00,"30,005,610",0.05,"46,047,633",0.42,"13,161,087",0.00,"72,172,365",2.61,"67,009,343",1.41,"88,745,020",0.87,"62,491,122",0.03,"26,523,257",0.00
     Unemployment compensation,"86,830,353",0.00,"1,058,214",0.00,"866,440",0.00,"644,034",0.00,"971,584",0.00,"-3,088,756",0.00,"1,378,012",0.00,"764,322",0.00,"206,108",0.00,"406,596",0.00,"6,385,810",0.00,"2,612,934",0.00,"1,008,502",0.00,"919,912",0.00,"3,267,322",0.00,"81,784",0.00,"1,846,836",0.00,"1,060,264",0.00,"366,268",0.00,"1,873,352",0.00,"741,466",0.00,"2,222,774",0.00,"2,053,776",0.00,"6,172,072",0.00,"3,199,676",0.00,"1,266,178",0.00
     Employee retirement,"3,598,055,314",0.13,"34,339,948",0.05,"9,046,822",0.00,"44,465,445",0.01,"25,341,981",0.05,"722,270,670",0.10,"51,069,091",1.13,"40,333,293",3.83,"9,621,262",0.58,"9,033,043",0.00,"165,704,190",1.26,"93,338,586",0.81,"14,160,626",0.00,"14,368,151",0.00,"148,846,585",0.54,"31,502,508",0.42,"31,394,965",0.00,"18,939,157",0.00,"28,410,174",0.05,"43,878,443",0.44,"12,408,641",0.00,"67,824,031",2.77,"64,904,496",1.46,"82,537,082",0.93,"59,235,961",0.03,"25,257,079",0.00
     Workers' compensation,"101,167,954",0.00,0,0.00,"15,644",0.00,0,0.00,"118,080",0.00,"19,726,662",0.00,"2,371,947",0.00,"40,166",0.00,"2,987",0.00,0,0.00,"262,525",0.00,0,0.00,0,0.00,"687,310",0.00,"3,615",0.00,"4,079",0.00,"5,159",0.00,"15,819",0.00,"1,229,168",0.00,"35,632",0.00,"10,980",0.00,"1,928,235",0.00,"11,619",0.00,"35,866",0.00,"55,485",0.00,0,0.00
     Miscellaneous,"9,892,429",0.00,0,0.00,0,0.00,0,0.00,0,0.00,"9,063,919",0.00,"104,725",0.00,0,0.00,0,0.00,0,0.00,0,0.00,"8,969",0.00,0,0.00,0,0.00,"10,579",0.00,0,0.00,0,0.00,0,0.00,0,0.00,"260,206",0.00,0,0.00,"197,325",0.00,"39,452",0.00,0,0.00,0,0.00,0,0.00
Other than insurance trust funds,"2,530,441,079",0.24,"24,941,370",0.65,"77,002,648",0.07,"44,105,361",0.47,"17,393,609",1.80,"336,748,909",1.37,"49,137,914",1.28,"23,548,133",0.37,"7,972,344",0.01,"6,014,369",0.00,"163,095,076",0.87,"47,172,040",1.09,"11,219,622",0.00,"11,857,363",1.09,"95,774,491",0.85,"50,867,951",0.52,"20,955,195",0.90,"21,692,635",3.91,"28,273,624",1.27,"38,652,881",0.37,"7,949,816",1.08,"30,217,157",0.50,"52,703,553",0.23,"62,172,904",0.81,"49,525,126",0.78,"12,999,289",0.83
   By purpose:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Offsets to debt,"755,926,366",0.29,"2,892,099",2.18,"3,802,119",0.14,"13,808,717",0.72,"5,163,119",4.79,"54,886,183",0.86,"15,216,215",2.26,"14,927,225",0.09,"2,063,691",0.00,"1,486,198",0.00,"23,569,576",2.49,"8,384,204",3.57,"1,053,683",0.00,"3,227,325",0.18,"37,032,347",0.34,"22,131,565",0.24,"5,691,811",1.22,"10,220,175",1.06,"15,348,761",1.93,"15,775,519",0.56,"3,588,228",0.44,"14,308,151",0.00,"27,443,929",0.01,"19,742,241",1.22,"19,130,265",1.08,"2,550,493",3.42
          Bond funds,"204,287,735",1.13,"1,856,520",3.07,"710,638",0.00,"3,174,581",1.14,"1,723,066",1.84,"33,694,631",6.48,"4,398,685",5.38,"1,127,905",0.38,"650,927",0.00,"211,565",0.00,"9,360,411",1.00,"7,572,784",0.59,"488,082",0.00,"783,794",3.62,"6,719,987",3.51,"1,508,311",3.33,"1,262,849",9.14,"2,008,004",1.57,"1,035,937",3.34,"3,854,115",0.12,"371,691",4.79,"1,456,182",1.53,"2,975,094",1.91,"7,012,816",0.30,"2,108,999",1.73,"600,781",2.02
          Other,"1,570,226,978",0.32,"20,192,751",0.68,"72,489,891",0.07,"27,122,063",0.65,"10,507,424",1.81,"248,168,095",1.63,"29,523,014",1.59,"7,493,003",1.14,"5,257,726",0.01,"4,316,606",0.00,"130,165,089",0.99,"31,215,052",1.33,"9,677,857",0.00,"7,846,244",1.60,"52,022,157",1.47,"27,228,075",0.93,"14,000,535",0.95,"9,464,456",8.89,"11,888,926",1.66,"19,023,247",0.59,"3,989,897",2.07,"14,452,824",1.04,"22,284,530",0.48,"35,417,847",1.24,"28,285,862",1.15,"9,848,015",0.64
"2 The total of ""net earnings"" is a calculated statistic (the item code in the data file is X08), and thus can be positive or negative.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net earnings is the sum of earnings on investments plus gains on investments minus losses on investments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The change made in 2002 for asset valuation from book to market value in accordance with Statement 34 of the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governmental Accounting Standards Board is reflected in the calculated statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Revision date: March 4, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
