F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129
               Sewerage,"1,168,850",1.77,"152,336",9.09,"320,317",1.38,"603,192",0.28,"163,679",1.50,"1,642,846",3.14,"210,971",1.49,"3,362,770",2.19,"1,044,236",3.28,"131,475",2.99,"2,181,654",1.45,"347,227",4.65,"888,821",3.24,"2,324,167",4.72,"182,741",0.02,"585,312",2.83,"108,326",2.97,"859,296",3.19,"4,193,452",1.97,"271,824",6.00,"86,444",2.02,"1,647,493",1.00,"1,958,015",3.05,"316,777",6.89,"992,032",2.46,"78,859",8.78
                    Capital outlay,"541,354",2.48,"82,504",16.66,"185,370",1.63,"326,235",0.04,"55,649",0.20,"409,268",8.91,"76,201",3.67,"1,866,533",3.58,"353,160",5.37,"81,258",4.55,"663,848",2.39,"118,288",9.01,"301,913",8.32,"490,669",13.56,"50,330",0.00,"198,064",5.10,"38,330",4.70,"311,609",7.18,"1,720,017",4.27,"33,543",12.98,"22,969",1.09,"685,563",0.95,"776,902",4.79,"116,321",18.01,"154,944",8.07,"27,487",22.42
               Solid waste management,"148,988",4.30,"79,759",2.62,"103,313",2.85,"29,166",0.54,"135,687",2.02,"995,219",2.26,"230,655",0.73,"2,833,775",1.02,"783,653",2.68,"68,250",2.29,"493,171",2.66,"218,073",3.00,"146,710",1.11,"875,093",3.28,"104,150",0.00,"358,665",3.41,"49,235",1.91,"410,529",2.68,"1,427,352",2.75,"157,180",2.66,"34,779",5.73,"602,733",3.07,"765,490",1.89,"77,490",6.59,"384,135",4.14,"114,252",16.71
                    Capital outlay,"8,120",2.89,"8,589",4.54,"14,117",9.21,"1,652",9.55,"16,082",0.25,"63,508",12.04,"31,671",0.60,"442,077",1.55,"57,703",4.13,"6,017",0.42,"32,522",4.16,"18,367",2.12,"9,755",3.45,"68,764",15.09,"5,528",0.00,"31,559",5.27,"6,843",1.03,"16,227",12.61,"114,479",8.83,"2,960",3.61,"1,724",2.14,"28,899",9.84,"90,414",3.07,"7,300",44.58,"10,459",59.43,"21,680",10.25
     Governmental administration:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Financial administration,"647,776",1.25,"166,638",0.19,"305,851",1.31,"285,462",0.00,"172,860",1.35,"1,405,612",0.59,"426,871",0.32,"3,617,265",0.32,"1,178,885",1.30,"134,566",0.39,"2,021,041",1.09,"524,636",1.76,"965,238",0.39,"1,777,085",0.34,"185,406",0.00,"570,467",0.56,"186,526",0.33,"803,568",0.87,"2,270,689",1.35,"490,168",0.60,"116,651",1.11,"1,155,076",1.01,"893,048",1.20,"277,133",1.18,"629,008",0.82,"210,448",0.45
               Judicial and legal,"556,963",0.95,"212,152",0.11,"185,011",2.81,"478,551",0.00,"150,326",0.28,"1,503,010",0.71,"333,596",0.20,"4,143,963",0.30,"912,407",0.44,"112,483",0.07,"1,755,792",3.30,"391,276",0.74,"766,942",0.26,"1,759,592",0.18,"146,371",0.00,"355,728",0.49,"90,110",0.03,"772,541",4.31,"2,992,197",1.94,"341,343",1.37,"74,177",0.32,"1,027,918",0.61,"1,135,011",0.70,"278,248",0.14,"652,826",1.05,"142,050",0.14
               General public buildings,"202,138",17.54,"65,056",0.23,"50,369",2.34,"176,546",0.00,"83,409",0.81,"373,237",1.81,"108,337",0.94,"1,459,424",1.21,"494,449",3.62,"40,469",1.40,"431,197",3.14,"65,638",3.30,"188,270",4.29,"1,179,065",1.65,"88,813",0.00,"222,179",0.54,"54,485",0.55,"319,515",4.07,"868,728",3.37,"444,917",0.82,"34,527",4.54,"746,762",0.87,"353,767",0.99,"104,751",0.64,"289,013",4.32,"152,640",0.70
               Other governmental administration,"565,911",2.71,"161,040",0.49,"217,521",2.33,"289,285",0.00,"171,708",2.50,"512,996",2.44,"248,444",1.27,"1,303,129",0.95,"889,947",2.24,"95,912",0.99,"1,241,978",2.64,"430,295",7.38,"715,385",1.45,"1,510,599",2.20,"248,772",0.00,"548,445",1.55,"91,686",0.67,"528,160",2.46,"1,897,113",2.37,"345,449",2.77,"85,905",3.15,"694,170",1.68,"573,902",2.59,"255,984",1.02,"965,841",1.29,"200,144",0.49
     Interest on general debt,"1,594,170",0.70,"177,750",0.40,"331,568",2.56,"778,841",0.05,"439,172",0.11,"3,317,807",0.58,"449,431",0.51,"13,726,691",0.20,"1,915,023",0.78,"175,251",1.59,"2,815,815",0.48,"564,912",1.09,"1,152,629",0.61,"4,184,843",0.47,"541,364",0.01,"884,877",0.38,"181,673",0.27,"1,130,117",0.76,"8,983,817",0.53,"439,034",0.55,"132,920",0.54,"2,343,733",0.66,"2,712,904",1.24,"398,171",0.42,"1,303,526",0.69,"46,749",1.85
"     General expenditure, n.e.c.:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Miscellaneous commercial activities,"29,605",1.98,"63,828",1.49,"8,882",21.71,"17,048",1.03,"7,971",2.93,252,8.23,"5,104",1.11,"31,555",1.46,"29,145",5.92,"230,788",0.01,"60,029",42.47,"37,118",7.84,"29,309",38.74,"8,229",12.40,"6,016",0.00,"6,009",11.66,"31,376",0.95,"83,158",3.97,"29,594",20.67,"21,096",7.94,"40,539",0.40,"13,601",6.78,"91,662",1.69,"2,649",3.69,"11,031",5.40,"28,738",23.18
               Other and unallocable,"2,245,867",1.26,"331,562",0.37,"839,520",2.72,"642,097",0.19,"748,502",0.98,"8,784,623",2.17,"948,016",0.25,"21,454,080",0.47,"1,617,241",1.41,"594,704",0.39,"2,936,773",2.82,"700,845",2.83,"2,421,945",0.97,"3,398,197",1.25,"422,184",0.00,"976,548",0.95,"282,088",0.81,"1,562,244",2.90,"5,877,277",2.08,"1,030,922",2.75,"148,685",3.80,"2,457,910",1.05,"1,931,910",3.27,"740,016",0.32,"1,230,472",1.78,"578,331",1.30
     Utility expenditure,"2,797,714",1.88,"197,582",1.57,"4,487,733",0.80,"1,463,494",0.06,"149,677",1.44,"4,095,708",1.36,"808,897",0.44,"28,921,935",0.23,"5,008,992",1.38,"436,899",0.79,"3,777,657",1.78,"2,275,965",2.39,"2,340,121",1.58,"4,713,497",2.00,"358,058",0.37,"3,233,990",1.61,"375,339",1.11,"9,314,878",1.62,"17,137,946",0.95,"2,041,605",1.22,"286,960",2.47,"2,996,782",1.03,"9,078,089",1.04,"338,276",4.80,"2,478,909",1.57,"309,667",2.65
               Capital outlay,"302,538",4.82,"71,353",3.81,"797,015",2.24,"319,412",0.06,"35,386",0.64,"836,862",5.06,"175,317",1.49,"6,418,585",0.64,"1,108,249",2.88,"181,514",0.22,"703,950",2.37,"656,087",2.86,"624,384",2.75,"948,276",5.54,"98,156",0.00,"404,359",9.33,"72,574",1.04,"963,009",4.09,"4,064,673",2.00,"177,614",4.77,"42,075",2.11,"941,705",1.75,"2,615,009",2.69,"83,798",15.87,"129,069",3.57,"122,731",5.42
          Water supply,"784,457",4.74,"156,535",1.97,"325,764",4.58,"1,071,652",0.07,"110,827",1.90,"942,337",5.22,"381,660",0.92,"3,013,425",1.80,"1,553,862",3.22,"397,320",0.84,"1,823,092",1.62,"962,839",4.86,"823,009",3.02,"1,264,690",6.46,"240,359",0.55,"784,348",5.21,"156,213",2.27,"1,333,135",3.63,"7,748,187",1.79,"572,107",2.38,"89,126",2.47,"1,268,685",1.99,"1,377,230",5.68,"272,815",5.56,"697,050",2.01,"212,226",3.78
          Electric power,"1,371,602",2.69,600,17.92,"3,843,029",0.85,"110,017",0.52,"11,844",0.05,"154,810",16.76,"194,697",0.04,"6,218,780",0.61,"2,398,683",1.85,"23,695",3.74,"1,046,213",4.64,"1,196,146",2.22,"637,705",3.32,"138,954",14.88,"7,607",0.00,"2,173,251",0.49,"193,485",1.02,"6,636,346",2.08,"6,243,561",1.33,"1,072,832",1.92,"166,228",4.05,"340,818",4.76,"5,090,447",0.73,"7,991",0.02,"1,407,621",2.56,"90,724",1.94
          Gas supply,"134,457",3.77,0,0.00,"270,397",0.77,0,0.00,0,0.00,0,0.00,"82,156",0.17,"12,255",38.62,"125,595",2.88,295,35.73,"50,297",0.18,"32,925",26.03,"2,079",0.00,"628,619",0.03,0,0.00,"208,083",10.73,"12,319",8.18,"1,125,479",3.27,"548,113",0.87,"5,354",65.78,0,0.00,"170,741",0.18,"8,485",73.98,405,0.00,"1,209",6.19,0,0.00
          Transit,"507,198",0.21,"40,447",0.30,"48,543",0.07,"281,825",0.00,"27,006",1.79,"2,998,561",0.00,"150,384",0.13,"19,677,475",0.05,"930,852",1.90,"15,589",0.01,"858,055",4.16,"84,055",1.30,"877,328",2.00,"2,681,234",1.57,"110,092",0.00,"68,308",30.90,"13,322",0.16,"219,918",1.32,"2,598,085",0.67,"391,312",0.07,"31,606",0.11,"1,216,538",0.63,"2,601,927",1.44,"57,065",10.13,"373,029",1.10,"6,717",0.00
     Liquor store expenditure,0,0.00,"81,539",0.00,0,0.00,0,0.00,"528,628",0.00,0,0.00,0,0.00,0,0.00,"672,948",2.24,0,0.00,"813,369",0.00,0,0.00,"428,366",0.00,"1,817,619",0.00,0,0.00,0,0.00,"16,830",8.37,0,0.00,0,0.00,"257,660",0.00,"59,662",0.00,"596,542",0.00,0,0.00,"75,983",0.00,0,0.00,"96,006",0.00
     Insurance trust expenditure,"5,321,307",2.06,"945,571",0.00,"1,114,320",1.02,"2,578,586",0.00,"781,509",0.00,"13,147,296",0.00,"2,309,049",0.00,"33,908,584",0.00,"5,969,025",0.01,"778,524",0.00,"17,363,699",0.00,"2,757,014",0.15,"5,577,262",0.00,"14,872,844",1.27,"1,534,542",0.76,"3,439,704",0.00,"584,729",0.00,"3,405,763",0.83,"20,019,553",0.19,"1,817,601",0.00,"400,842",0.00,"6,026,014",0.73,"7,274,936",0.07,"1,725,860",0.03,"5,890,313",0.00,"827,223",0.00
          Unemployment compensation,"292,884",0.00,"115,595",0.00,"77,914",0.00,"342,324",0.00,"61,777",0.00,"2,042,564",0.00,"194,581",0.00,"2,332,413",0.00,"243,817",0.00,"205,067",0.00,"981,610",0.00,"386,652",0.00,"502,085",0.00,"2,340,879",0.00,"153,322",0.00,"173,866",0.00,"26,347",0.00,"260,540",0.00,"3,090,987",0.00,"180,058",0.00,"70,996",0.00,"404,643",0.00,"1,005,764",0.00,"256,533",0.00,"519,502",0.00,"117,282",0.00
          Employee retirement,"4,925,030",2.23,"764,982",0.00,"1,035,655",1.10,"2,236,262",0.00,"719,732",0.00,"10,369,282",0.00,"2,098,361",0.00,"30,107,694",0.00,"5,725,208",0.01,"375,989",0.00,"15,562,356",0.00,"2,370,362",0.18,"4,740,230",0.00,"12,249,162",1.55,"1,195,930",0.98,"3,183,951",0.00,"556,656",0.00,"3,145,223",0.89,"16,559,877",0.23,"1,441,635",0.00,"329,846",0.00,"5,616,946",0.78,"4,172,942",0.12,"1,277,967",0.04,"5,368,778",0.00,"533,724",0.00
          Workers' compensation,"103,393",0.00,"64,994",0.00,751,0.00,0,0.00,0,0.00,"209,153",0.00,"16,107",0.00,"1,468,477",0.00,0,0.00,"197,468",0.00,"819,733",0.00,0,0.00,"334,947",0.00,"282,803",0.00,"1,264",0.00,"81,887",0.00,"1,726",0.00,0,0.00,"368,689",0.00,"195,908",0.00,0,0.00,"4,425",0.00,"2,096,230",0.00,"191,360",0.00,"2,033",0.00,"176,217",0.00
          Other insurance trust,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"526,297",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"184,026",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
            Debt outstanding,"47,090,909",1.07,"5,283,568",0.48,"15,014,128",1.34,"28,451,951",0.03,"10,438,173",0.33,"99,139,366",0.51,"15,712,570",0.44,"354,643,513",0.17,"47,179,819",0.82,"7,022,670",1.80,"86,001,457",1.96,"19,298,511",1.32,"34,702,948",0.76,"126,862,125",2.48,"11,731,393",0.02,"43,283,569",0.21,"5,779,959",0.30,"42,254,490",0.90,"280,422,633",0.65,"20,145,879",1.78,"4,736,834",1.52,"66,131,454",0.72,"85,663,989",0.67,"11,695,138",0.62,"44,582,640",0.81,"1,935,049",1.79
Short-term,"118,644",0.00,"4,563",0.00,"283,824",23.45,"507,935",0.00,"3,322",3.37,"3,099,036",5.53,"44,607",0.00,"7,160,617",1.80,"126,864",0.63,"6,896",0.00,"1,017,981",1.91,"90,792",11.48,"607,256",0.00,"293,932",1.85,"123,537",0.00,"668,091",0.35,"6,956",0.37,"954,894",0.18,"8,216,404",0.53,"228,225",0.00,"230,002",0.39,"299,593",2.03,"342,034",1.05,"29,548",1.39,"670,866",0.43,"2,895",0.00
Long-term,"46,972,265",1.07,"5,279,005",0.48,"14,730,304",1.29,"27,944,016",0.03,"10,434,851",0.33,"96,040,330",0.50,"15,667,963",0.44,"347,482,896",0.17,"47,052,955",0.82,"7,015,774",1.81,"84,983,476",1.99,"19,207,719",1.33,"34,095,692",0.77,"126,568,193",2.49,"11,607,856",0.02,"42,615,478",0.22,"5,773,003",0.30,"41,299,596",0.92,"272,206,229",0.67,"19,917,654",1.80,"4,506,832",1.59,"65,831,861",0.72,"85,321,955",0.67,"11,665,590",0.62,"43,911,774",0.82,"1,932,154",1.79
     Public debt for private purposes,"16,776,264",0.11,"2,723,830",0.00,"1,292,631",0.00,"3,110,848",0.00,"3,906,022",0.00,"15,271,974",0.00,"4,274,998",0.00,"66,124,923",0.40,"10,453,123",0.57,"1,593,395",0.08,"28,472,898",5.81,"2,091,247",0.69,"6,165,614",0.01,"35,041,644",0.26,"4,943,269",0.00,"6,255,659",0.16,"2,539,606",0.05,"13,096,222",0.33,"27,410,538",2.48,"3,454,399",0.00,"1,393,358",0.00,"8,724,578",1.29,"10,800,755",0.00,"4,718,860",0.00,"12,166,044",0.60,"689,707",0.00
Long-term debt issued,"7,296,932",0.88,"578,059",1.61,"2,120,596",4.13,"4,865,993",0.02,"1,446,152",0.12,"6,458,112",2.60,"1,727,317",0.09,"42,192,612",0.87,"7,029,430",1.02,"2,080,287",2.21,"7,974,795",0.64,"2,249,795",3.64,"3,054,299",4.16,"12,179,552",3.47,"1,548,812",0.00,"5,739,601",0.36,"586,443",0.35,"4,936,939",3.42,"41,027,981",0.77,"2,603,850",0.56,"411,561",0.14,"9,190,659",0.99,"14,621,495",1.87,"840,507",2.67,"8,064,923",4.01,"239,060",4.70
Long-term debt retired,"7,270,258",1.34,"498,339",0.77,"2,192,030",4.58,"4,417,398",0.02,"1,846,376",0.14,"8,511,002",1.48,"1,487,950",0.84,"40,729,095",0.74,"8,506,884",0.79,"1,174,518",1.09,"9,114,788",0.59,"2,249,600",3.21,"3,916,690",0.77,"15,054,116",4.42,"1,494,539",0.01,"4,438,572",0.27,"683,767",0.30,"6,817,458",1.29,"39,007,056",0.81,"3,437,593",0.52,"580,666",0.73,"8,704,992",1.31,"10,456,848",1.61,"632,459",0.39,"6,772,598",3.18,"334,296",8.82
            Cash and security holdings,"115,911,654",0.86,"22,429,805",0.11,"32,778,050",0.96,"53,043,646",0.08,"17,335,240",0.25,"136,540,001",0.24,"60,600,797",0.14,"639,328,743",0.07,"135,993,208",0.08,"34,132,316",1.09,"271,113,393",0.74,"55,750,646",0.22,"112,034,546",0.39,"198,269,947",1.49,"19,780,112",0.50,"61,916,902",0.18,"18,852,231",0.65,"92,527,724",0.47,"511,061,125",0.27,"43,323,678",0.64,"9,771,713",0.40,"137,456,476",0.39,"139,891,948",0.31,"24,584,651",0.19,"132,515,982",0.19,"34,685,352",0.87
Insurance trust funds,"72,096,274",1.17,"12,031,805",0.00,"16,508,684",1.08,"36,088,793",0.00,"7,526,532",0.00,"76,716,234",0.00,"26,494,915",0.00,"452,351,077",0.00,"91,612,120",0.00,"7,025,509",0.00,"183,846,788",0.00,"32,181,193",0.09,"80,332,572",0.00,"103,975,277",2.48,"9,222,387",1.06,"29,860,391",0.00,"11,191,027",0.00,"51,648,808",0.56,"244,822,347",0.19,"27,196,477",0.00,"4,641,186",0.00,"84,665,142",0.54,"88,230,321",0.04,"14,003,736",0.02,"99,051,278",0.00,"9,861,314",0.00
     Unemployment compensation,"1,171,652",0.00,"593,248",0.00,"830,690",0.00,"1,157,538",0.00,"589,248",0.00,"3,267,176",0.00,"668,360",0.00,"2,581,034",0.00,"3,947,502",0.00,"127,372",0.00,"801,255",0.00,"2,177,650",0.00,"6,199,078",0.00,"3,030,790",0.00,"403,406",0.00,"923,276",0.00,"205,206",0.00,"2,006,500",0.00,"2,714,802",0.00,"1,944,920",0.00,"544,738",0.00,"1,956,588",0.00,"8,007,162",0.00,"105,450",0.00,"1,973,354",0.00,"616,878",0.00
     Employee retirement,"70,917,971",1.18,"9,974,561",0.00,"15,674,802",1.13,"34,931,255",0.00,"6,937,284",0.00,"73,180,208",0.00,"25,777,278",0.00,"435,344,402",0.00,"87,664,618",0.00,"5,073,643",0.00,"159,956,883",0.00,"30,003,543",0.09,"69,616,324",0.00,"99,457,130",2.60,"8,714,768",1.12,"28,492,108",0.00,"10,983,113",0.00,"49,642,308",0.58,"236,134,148",0.19,"23,223,905",0.00,"4,096,448",0.00,"82,703,179",0.55,"64,610,111",0.05,"12,242,787",0.02,"97,066,638",0.00,"7,403,669",0.00
     Workers' compensation,"6,651",0.00,"1,463,996",0.00,"3,192",0.00,0,0.00,0,0.00,"165,809",0.00,"49,277",0.00,"14,425,641",0.00,0,0.00,"1,824,494",0.00,"23,088,650",0.00,0,0.00,"4,517,170",0.00,"1,487,357",0.00,0,0.00,"445,007",0.00,"2,708",0.00,0,0.00,"5,973,397",0.00,"2,027,652",0.00,0,0.00,"5,375",0.00,"15,613,048",0.00,"1,655,499",0.00,"11,286",0.00,"1,840,767",0.00
     Miscellaneous,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"103,041",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"104,213",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Other than insurance trust funds,"43,815,380",1.24,"10,398,000",0.23,"16,269,366",1.59,"16,954,853",0.26,"9,808,708",0.44,"59,823,767",0.55,"34,105,882",0.25,"186,977,666",0.25,"44,381,088",0.26,"27,106,807",1.37,"87,266,605",2.31,"23,569,453",0.50,"31,701,974",1.38,"94,294,670",1.50,"10,557,725",0.06,"32,056,511",0.35,"7,661,204",1.60,"40,878,916",0.79,"266,238,778",0.48,"16,127,201",1.73,"5,130,527",0.76,"52,791,334",0.51,"51,661,627",0.84,"10,580,915",0.43,"33,464,704",0.75,"24,824,038",1.22
   By purpose:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Offsets to debt,"19,090,796",1.27,"3,203,221",0.07,"2,446,920",2.03,"4,427,003",0.03,"4,877,430",0.00,"21,800,664",0.11,"5,331,682",1.46,"97,029,876",0.28,"11,767,331",0.56,"2,631,833",2.85,"38,874,553",4.41,"5,206,655",0.76,"8,830,050",1.86,"41,482,807",0.67,"6,638,902",0.00,"8,342,197",0.40,"2,733,124",0.06,"17,519,141",0.30,"50,193,886",1.60,"3,601,139",0.16,"2,401,799",0.04,"18,635,316",0.88,"13,822,398",0.23,"4,952,663",0.11,"15,899,259",0.13,"741,882",0.51
          Bond funds,"2,177,945",2.73,"442,930",0.31,"946,741",1.92,"2,953,927",0.00,"264,271",1.30,"6,391,655",2.48,"1,664,725",0.08,"13,008,370",0.82,"5,040,994",0.48,"684,014",1.14,"5,665,656",0.56,"1,668,166",2.11,"2,405,383",5.90,"9,175,197",1.75,"271,671",0.00,"2,388,054",0.70,"82,256",0.27,"2,538,101",1.83,"33,351,217",1.37,"2,151,408",0.27,"93,446",0.87,"4,428,582",2.41,"7,436,902",2.83,"415,800",0.76,"1,489,553",4.68,"482,416",0.75
          Other,"22,546,639",2.15,"6,751,849",0.35,"12,875,705",1.96,"9,573,923",0.46,"4,667,007",0.93,"31,631,448",0.92,"27,109,475",0.13,"76,939,420",0.47,"27,572,763",0.33,"23,790,960",1.53,"42,726,396",2.49,"16,694,632",0.63,"20,466,541",1.86,"43,636,666",3.16,"3,647,152",0.16,"21,326,260",0.49,"4,845,824",2.53,"20,821,674",1.51,"182,693,675",0.49,"10,374,654",2.68,"2,635,282",1.47,"29,727,436",0.63,"30,402,327",1.25,"5,212,452",0.87,"16,075,892",1.48,"23,599,740",1.28
"2 The total of ""net earnings"" is a calculated statistic (the item code in the data file is X08), and thus can be positive or negative.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net earnings is the sum of earnings on investments plus gains on investments minus losses on investments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The change made in 2002 for asset valuation from book to market value in accordance with Statement 34 of the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governmental Accounting Standards Board is reflected in the calculated statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Revision date: March 4, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
