,Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
90,               Health,"95,886,685",0.39,"823,787",3.05,"244,403",0.3,"868,144",0.44,"311,258",0.78,"20,956,413",1,"772,356",5.67,"961,129",0.13,"481,989",0,"455,573",0,"5,131,836",0.52,"2,246,563",1.5,"539,552",0,"258,356",0.1,"1,887,689",0.99,"782,672",0.84,"413,990",6.39,"420,759",2.95,"836,592",2.3,"673,081",0.15,"244,334",1.04,"1,742,042",0.01,"1,449,974",0.21,"4,372,475",3.75,"1,168,501",3.15,"367,609",0.43,"2,170,145",3.03,"357,401",0.05,"314,539",0.27,"384,049",0.02,"143,439",0.54,"3,232,920",0.19,"720,686",0.18,"6,759,418",1.4,"4,999,354",0.43,"183,127",1.5,"3,494,282",4.76,"1,088,081",0.88,"1,588,717",0.08,"5,334,444",0.08,"235,309",0,"1,258,021",0,"177,857",0.92,"965,111",1.9,"5,316,386",1.8,"570,880",0.52,"364,975",0.15,"2,218,933",3.32,"3,385,356",0.92,"283,544",0.52,"1,504,204",2.58,"424,430",0.7
91,               Employment security administration,"4,107,109",0,"94,880",0,"37,939",0,2,0,"89,321",0,"310,551",0,"57,653",0,"23,386",0,"17,066",0,"41,235",0,"304,175",0,"37,921",0,"6,460",0,"9,146",0,"50,947",0,"96,028",0,"50,979",0,"32,329",0,"133,876",0,"126,003",0,"55,880",0,"53,791",0,"216,627",0,"176,033",0,"47,134",0,"112,778",0,"43,844",0,"46,792",0,"43,720",0,"62,453",0,"29,351",0,"192,922",0,"10,441",0,"195,815",0,"62,075",0,"17,368",0,"125,885",0,"85,288",0,"54,756",0,"102,457",0,"39,583",0,"65,264",0,"22,896",0,"68,027",0,"194,989",0,"11,827",0,"2,316",0,"84,311",0,"189,939",0,"20,147",0,"136,196",0,"16,307",0
92,               Veterans' services,"1,380,622",0,"5,922",0,0,0,"14,501",0,"1,852",0,"8,318",0,"4,130",0,"30,905",0,0,0,0,0,"10,769",0,"8,444",0,0,0,0,0,"9,524",0,"6,503",0,"1,461",0,"11,071",0,"59,639",0,"6,046",0,243,0,"2,977",0,"83,230",0,0,0,"13,351",0,"3,670",0,"4,477",0,"2,168",0,"1,184",0,83,0,"1,039",0,"16,011",0,"4,155",0,"11,048",0,"6,517",0,"4,879",0,"30,268",0,"16,847",0,"9,961",0,"6,146",0,0,0,0,0,"1,415",0,"5,793",0,"886,468",0,"3,376",0,"2,376",0,"17,482",0,"36,738",0,"11,031",0,"18,589",0,15,0
93,     Transportation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,               Highways,"177,981,696",0.27,"2,414,997",1.37,"1,590,169",0.17,"2,445,191",1.23,"1,757,302",0.69,"17,139,733",2.08,"2,980,071",1.49,"2,572,009",0.3,"586,099",0,"354,822",0,"10,319,717",0.41,"4,134,770",1.12,"729,848",0,"841,937",3.06,"9,511,597",1.37,"2,707,124",0.85,"2,587,060",1.12,"1,990,100",2.03,"2,766,636",0.33,"2,393,945",0.39,"1,006,819",1.1,"3,389,979",0.25,"3,845,033",0.38,"3,833,532",2.61,"4,975,369",1.03,"1,670,797",1,"2,348,262",1.42,"867,933",0.33,"1,586,184",1.6,"1,730,335",0.1,"716,554",0.68,"4,874,771",0.97,"976,842",0.19,"11,710,010",0.67,"4,333,209",0.5,"1,800,565",0.38,"5,949,614",0.88,"2,594,757",0.59,"2,092,679",0.83,"10,562,496",1.41,"451,746",0,"1,844,509",0.6,"1,047,562",1.57,"2,228,108",0.81,"13,880,637",0.67,"1,557,027",0.59,"601,425",1.5,"5,580,220",0.24,"4,228,359",1.22,"1,278,978",0.17,"3,796,340",1.89,"797,918",0.18
95,                    Capital outlay,"99,262,383",0.39,"1,228,097",1.13,"890,633",0.08,"1,347,477",1.76,"923,103",0.44,"6,437,264",5.27,"1,327,711",2.55,"1,323,762",0.4,"339,461",0,"212,189",0,"7,076,918",0.49,"2,541,756",1.47,"329,995",0,"453,406",5.61,"6,442,493",0.84,"1,564,740",0.76,"1,436,314",1.79,"1,089,631",2.3,"1,797,007",0.29,"1,481,905",0.47,"399,350",1.88,"1,704,427",0.21,"1,969,437",0.63,"1,480,207",3.11,"3,017,664",1.15,"779,837",1.43,"1,088,718",2.01,"357,230",0.72,"817,724",2.61,"1,009,347",0.01,"280,832",0.51,"3,186,148",1.29,"525,170",0.26,"6,941,717",0.93,"2,793,466",0.46,"1,157,709",0.14,"3,503,403",0.84,"1,661,977",0.74,"913,858",1.71,"6,754,327",0.47,"248,424",0,"1,028,491",0.96,"612,543",2.48,"1,190,657",1.04,"8,787,876",0.75,"818,765",0.96,"254,775",1.25,"2,862,801",0.15,"2,292,688",2.11,"637,111",0.03,"1,504,763",4.22,"437,079",0.19
96,               Air transportation (airports),"24,009,201",0.31,"111,014",3.86,"296,850",0.04,"519,142",1.18,"105,224",4.83,"3,780,712",0.57,"765,390",0.4,"41,333",6.72,"7,369",0,0,0,"2,587,365",1.75,"624,335",0.31,"438,887",0,"61,916",0.96,"1,223,169",1.85,"223,461",1.85,"102,694",2.31,"125,120",0.54,"230,229",0.28,"266,136",0.11,"59,729",0.76,"351,916",0,"616,880",0,"530,339",1.79,"378,213",1.76,"95,837",9.25,"317,802",1.18,"57,567",0.81,"109,869",8.56,"367,202",0,"51,444",0.06,"24,500",6.02,"86,458",0.12,"2,586,614",0.34,"437,645",1.09,"64,762",3.17,"352,674",4.47,"189,137",4.79,"314,530",1.32,"603,051",3.22,"58,947",0,"222,843",2.2,"44,712",1.81,"398,664",3.8,"2,145,429",0.91,"273,035",0.44,"42,949",0,"678,437",2.32,"577,310",1.62,"48,688",4.5,"293,641",0.93,"118,031",9.41
97,               Parking facilities,"2,106,861",1.49,"17,695",0,"1,646",3.75,"9,292",1.82,"11,531",0.03,"524,103",5.57,"46,609",6.82,"48,247",0.01,"11,322",0,"28,970",0,"192,848",4.31,"9,490",0.57,"4,062",0,60,0,"70,042",2.48,"31,359",0.53,"21,864",0.41,"6,458",0.02,"23,049",0.01,"2,680",0,"4,693",1.2,"52,741",0.59,"17,806",3.16,"61,946",0.29,"63,067",0.04,"1,201",0,"24,996",0.4,"5,767",0,"8,479",0,"7,632",0,"10,765",0,"81,335",4.92,"8,333",0,"91,951",1.19,"30,850",1.12,"4,433",0.44,"63,381",1.47,"11,754",0.75,"18,335",3.94,"224,408",2.38,"1,461",0,"34,013",0.67,"4,137",0,"10,587",0.62,"30,923",0.11,106,0,"8,393",0.04,"68,237",0.89,"21,132",0.4,"8,688",0.22,"63,004",1.39,980,0
98,               Sea and inland port facilities,"6,042,024",0.95,"115,226",0,"170,528",1.86,0,0,"2,901",1.24,"1,471,559",1.31,0,0,"2,313",0,"58,203",0,0,0,"653,036",1.57,"329,784",0,"84,956",0,"1,776",66.15,"6,736",8.35,"12,121",0.62,7,10.49,0,0,"34,387",57.29,"340,560",0,"5,459",17.93,"145,138",0,"100,769",1.32,"7,182",49.11,"47,471",0.44,"55,886",4.35,"3,398",5.07,"1,247",78.45,0,0,0,0,47,0,"43,917",0.46,0,0,"288,787",0.03,"39,130",0.36,0,0,"34,242",15.64,"14,703",0.88,"116,829",1.28,"78,362",2.7,"3,492",0,"288,293",0.04,0,0,"2,541",7.9,"515,264",0.42,0,0,0,0,"451,862",0.02,"492,416",9.91,"9,388",0,"12,108",2.23,0,0
99,     Public safety:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,               Police protection,"109,116,058",0.39,"1,249,556",2.32,"368,170",0.64,"2,267,170",1.37,"680,398",1.69,"17,557,870",1.81,"1,829,355",2.22,"1,249,334",0.34,"354,420",0,"593,345",0,"7,869,704",1.77,"2,667,236",1.81,"457,839",0,"430,772",0.62,"5,200,415",2.04,"1,253,596",1.28,"778,945",1.12,"788,654",1.24,"761,990",1,"1,599,088",0.84,"289,950",1.68,"2,655,341",0.64,"2,515,455",0.73,"2,509,076",1.42,"1,908,285",0.83,"756,900",2.01,"1,799,536",1.36,"294,354",0.44,"493,201",0.92,"1,180,808",0,"393,792",0.99,"3,518,642",2.26,"687,256",0.34,"9,923,400",0.52,"3,058,607",1.34,"195,776",0.3,"3,659,235",1.47,"1,026,168",3.14,"1,315,523",1.19,"3,743,124",1.41,"439,212",0,"1,237,484",1.15,"201,266",0.36,"1,810,523",1.33,"7,693,560",1.53,"665,185",1.4,"208,207",1.98,"2,368,355",1.08,"2,094,309",2.45,"387,736",0.79,"1,894,438",1.33,"233,497",0.54
101,               Fire protection,"47,982,402",0.71,"480,366",2.47,"220,101",0.47,"1,119,648",4.65,"292,590",2.73,"8,016,111",2.55,"944,795",8.14,"579,636",1.04,"34,617",0,"275,695",0,"3,816,152",2.29,"1,157,817",7.59,"227,779",0,"173,385",3.47,"2,602,477",3.02,"877,689",3.54,"258,675",2.36,"353,714",0.86,"372,695",2.74,"727,365",0.56,"160,582",2.95,"1,150,979",0.08,"1,256,997",0.99,"927,144",2.17,"487,954",4.7,"287,080",3.66,"852,232",5.15,"98,713",4.27,"230,969",2.48,"554,585",0.18,"233,609",1.08,"996,016",4.63,"307,856",0.54,"3,813,427",2.75,"1,050,461",2.61,"59,250",5.7,"1,986,882",2.87,"526,960",4.92,"738,659",4.6,"806,968",2.92,"333,804",1.23,"539,464",2.66,"66,569",1.02,"699,214",2.5,"3,200,376",2.63,"286,562",4.45,"56,157",3.58,"1,263,557",1.23,"1,553,475",6.78,"116,113",2.05,"713,330",2.38,"95,151",10.22
102,               Correction,"77,884,697",0.26,"721,568",2.12,"339,537",0.12,"1,686,597",0,"504,403",1.15,"15,468,283",0,"1,309,595",0,"682,862",0,"310,914",0,"144,915",0,"4,447,036",0,"1,989,501",1.4,"217,115",0,"362,929",0,"1,883,918",0.33,"1,034,548",0.79,"443,716",1.3,"522,150",2.06,"903,547",1.38,"1,137,143",0,"257,526",0,"1,904,825",0,"914,586",0,"2,521,401",1.07,"987,019",1.36,"497,403",1.31,"911,452",0.7,"257,400",0,"499,374",0.93,"702,020",0,"198,457",0,"2,133,679",0,"784,713",0.01,"6,361,562",0.26,"1,892,121",0.5,"173,969",0,"1,930,150",0.53,"726,031",0.01,"1,217,389",0,"3,550,608",0,"230,043",0,"705,331",0,"182,555",0,"1,138,801",0.72,"5,943,876",1.07,"541,203",0,"146,791",0,"2,686,591",6.83,"1,728,290",0.26,"352,991",0,"1,479,715",1.58,"216,548",0.04
103,                    Capital outlay,"2,413,855",1.4,"28,675",3.97,"14,148",0,"22,178",0,"4,106",3.48,"865,857",0,"30,796",0,"4,065",0,"2,524",0,"4,745",0,"77,478",0,"69,205",3.94,847,0,"15,012",0,"24,143",2.19,"18,264",2.06,"10,652",4.41,"16,362",15.94,"17,342",4.55,"65,326",0.01,"7,118",0,"44,714",0,"32,366",0,"34,497",54.73,"16,071",23.06,"35,046",8.33,"16,307",2.45,"7,979",0,"8,558",37.95,"19,059",0,"5,650",0,"33,786",0,"2,384",0.13,"181,052",0.17,"44,468",4.08,"25,218",0,"87,927",0.17,"8,608",0.06,"15,169",0,"36,070",0,"3,171",0,"9,548",0,"1,386",0,"29,153",9.14,"189,947",9.88,"45,630",0,"1,352",0,"42,589",12.38,"80,723",0.03,"7,739",0,"47,653",38.85,"1,192",0
104,               Protective inspection and regulation,"14,362,972",0.64,"137,083",3.36,"39,161",0.21,"195,404",0.98,"97,288",0.45,"4,396,610",2.02,"123,350",1.84,"105,197",0.54,"69,680",0,"108,188",0,"745,407",2.45,"166,333",2.72,"58,929",0,"56,398",1.52,"289,818",1.59,"162,789",1.4,"98,215",0.91,"90,172",0.41,"100,354",0.28,"126,156",0.17,"47,777",1.03,"293,275",0.37,"288,082",0.9,"459,196",0.96,"186,140",1.83,"89,038",2.97,"99,917",1.6,"37,393",0.41,"69,966",0.97,"168,378",0,"66,620",0.32,"422,195",1.17,"107,291",0.05,"911,823",0.46,"347,996",0.88,"36,215",0.04,"288,328",0.87,"136,290",0.27,"357,361",0.61,"373,778",1.51,"27,489",0,"130,309",0.79,"31,549",0.11,"142,418",1.2,"826,240",1.15,"76,172",1.04,"38,346",0.05,"298,831",0.57,"508,084",0.61,"68,847",0.14,"221,879",0.82,"39,217",0.23
105,     Environment and housing:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,               Natural resources,"30,613,791",0.52,"234,322",0.79,"427,450",0.2,"483,002",6.27,"377,990",6.94,"7,706,815",1.46,"502,985",1.79,"283,448",0.13,"87,797",0.14,"67,548",0,"3,109,422",2.19,"458,033",0.48,"163,803",0,"284,943",2.04,"661,180",1.57,"388,903",0.58,"414,876",1.25,"252,515",1.72,"431,316",2.14,"1,036,342",0.16,"143,998",0.52,"506,380",0.35,"286,173",0.23,"424,474",0.95,"840,674",1.76,"276,143",0.79,"415,323",2.56,"261,187",1.52,"278,504",3.72,"256,238",1.49,"65,256",2.02,"478,343",0.48,"293,593",2.96,"589,726",2.17,"593,780",1.45,"221,723",1.25,"422,443",2.18,"165,800",0.84,"672,038",1.91,"767,112",0.71,"75,298",0.09,"237,955",0.14,"167,664",2.02,"388,788",0.35,"1,459,580",3.13,"265,706",1.95,"106,995",0.49,"266,994",1.53,"1,255,189",3.99,"218,894",0.1,"651,445",3.29,"187,685",2.48
107,                    Capital outlay,"6,120,280",1.17,"36,400",0.13,"27,396",0,"84,403",5.7,"51,763",36.03,"2,119,777",2.05,"67,294",4.25,"82,231",0.06,"11,650",0,"6,763",0,"574,819",6.45,"109,811",0.2,"59,475",0,"21,535",12.15,"90,176",2.02,"45,610",1.98,"129,761",2.13,"14,189",3.01,"26,071",2.54,"525,357",0.32,"4,974",6.1,"45,973",1.9,"52,970",0.06,"56,990",3.83,"100,142",2.65,"29,284",0.74,"44,969",5.16,"16,014",4.15,"40,999",9,"107,160",0.17,"8,409",0.09,"62,402",0.95,"30,359",9.01,"69,623",1.98,"84,545",4.18,"28,052",1.08,"56,969",3.56,"21,144",1.53,"45,548",4.37,"108,307",1.36,"13,119",0,"41,739",0.23,"12,185",5.45,"54,949",1.42,"464,887",6.66,"27,329",2.88,"5,112",0.26,"9,102",5.9,"265,469",7.26,"39,239",0.25,"72,526",10.15,"15,310",15.31
108,               Parks and recreation,"41,939,028",0.93,"453,847",3.79,"117,226",1.43,"665,351",1.47,"270,665",2.43,"6,408,730",4.67,"1,224,071",5.89,"274,268",0.7,"85,848",0,"328,468",0,"2,996,531",2.88,"1,134,237",1.81,"319,381",0,"151,757",1.64,"2,668,250",7.17,"546,989",2.25,"327,939",2.31,"332,290",0.82,"349,776",1.18,"727,640",1.1,"95,162",2.45,"1,201,579",0.58,"505,789",0.7,"1,014,058",1.99,"1,115,509",0.95,"214,871",2.1,"736,017",2.8,"93,252",0.71,"239,835",2.42,"597,725",0.12,"96,237",1.1,"804,411",2.82,"318,972",0.33,"2,954,433",0.95,"1,089,360",1.36,"241,943",4.83,"1,320,412",2.85,"473,309",2.97,"666,900",2.23,"1,000,972",2.22,"82,548",0.14,"587,475",4.77,"160,351",0.47,"600,402",4.47,"2,504,913",2.15,"480,530",3.51,"64,534",0.88,"1,086,105",1.22,"1,176,298",2.31,"189,454",1.98,"698,508",1.65,"143,900",5.28
109,                    Capital outlay,"9,260,681",1.32,"67,518",15.84,"25,411",4.8,"40,213",8.54,"73,790",7.05,"1,374,070",6.03,"225,029",10.48,"45,104",1.42,"27,516",0,"139,752",0,"494,700",6.14,"435,154",2.87,"109,731",0,"22,700",3.24,"469,853",9.22,"111,090",9.7,"40,201",12.86,"53,142",0.38,"38,359",5.89,"160,673",3.35,"14,298",3.15,"92,699",2.07,"123,103",0.54,"304,417",5.55,"195,640",4.48,"21,917",10.26,"139,006",2.08,"19,655",0.33,"61,171",7.58,"95,548",0,"7,347",0.46,"244,571",7.81,"54,650",0.23,"989,216",1.92,"310,032",2.79,"67,447",11.83,"279,088",7.65,"160,161",6.19,"105,812",5.67,"237,027",5.64,"5,728",0,"101,288",15.86,"36,409",0.53,"116,536",11.92,"660,703",4.92,"98,629",12.77,"11,612",0.25,"203,138",4.22,"320,808",6.46,"24,390",0,"169,098",5.22,"35,531",12.48
110,               Housing and community development,"49,870,633",0.88,"499,373",5.97,"346,156",0.09,"452,383",1.05,"186,799",4.46,"8,045,955",4.2,"914,760",6.96,"886,082",3.65,"146,549",0,"678,972",0,"2,286,631",2.78,"1,225,726",3.09,"264,639",0,"147,060",1.03,"1,984,036",5.61,"828,612",1.89,"258,115",2.29,"279,827",7.45,"452,178",0.74,"717,885",0.66,"284,021",1.64,"1,441,189",0.18,"2,782,713",2.91,"1,107,947",1.52,"1,026,932",7.48,"278,203",3.18,"639,818",1.7,"82,406",2.2,"213,869",13.04,"292,590",47.35,"212,809",0.2,"1,453,431",1.58,"144,973",1.25,"5,698,573",0.13,"1,460,059",1.7,"80,039",9.04,"2,026,506",3.32,"499,108",3.82,"657,559",6.47,"1,896,196",2.04,"293,345",1.66,"496,197",8.28,"99,798",4.82,"804,372",7.03,"1,940,315",3.45,"342,531",0.86,"158,558",0.92,"1,035,315",0.78,"1,354,714",2.96,"138,808",4.64,"310,850",3.06,"15,151",0.89
111,               Sewerage,"55,546,392",0.65,"386,109",3.48,"114,002",1.13,"725,605",2.94,"317,124",2.3,"8,674,630",2.61,"956,777",7.4,"642,347",0.65,"193,204",0,"592,945",0,"3,488,479",3.12,"1,178,268",3.24,"422,493",0,"216,433",5.31,"2,120,313",3.83,"991,706",3.15,"508,695",6.11,"368,751",0.69,"670,197",1.53,"781,781",1.25,"193,650",6.01,"1,365,623",0.76,"1,225,203",1.47,"2,362,490",5.01,"909,965",3.95,"316,490",3.39,"1,168,850",1.77,"152,336",9.09,"320,317",1.38,"603,192",0.28,"163,679",1.5,"1,642,846",3.14,"210,971",1.49,"3,362,770",2.19,"1,044,236",3.28,"131,475",2.99,"2,181,654",1.45,"347,227",4.65,"888,821",3.24,"2,324,167",4.72,"182,741",0.02,"585,312",2.83,"108,326",2.97,"859,296",3.19,"4,193,452",1.97,"271,824",6,"86,444",2.02,"1,647,493",1,"1,958,015",3.05,"316,777",6.89,"992,032",2.46,"78,859",8.78
112,                    Capital outlay,"20,041,737",1.25,"114,866",4.57,"23,373",0.31,"223,975",8.8,"125,936",4.16,"3,414,335",4.14,"375,290",14.73,"289,781",0.42,"64,634",0,"426,293",0,"948,170",5.86,"248,730",8.68,"254,739",0,"76,187",2.22,"889,920",6.47,"314,930",5.69,"148,474",19.67,"95,108",1.14,"317,621",1.64,"408,434",1.14,"51,728",17.06,"307,538",0,"449,351",1.66,"490,566",21.16,"141,405",16.52,"152,024",4.28,"541,354",2.48,"82,504",16.66,"185,370",1.63,"326,235",0.04,"55,649",0.2,"409,268",8.91,"76,201",3.67,"1,866,533",3.58,"353,160",5.37,"81,258",4.55,"663,848",2.39,"118,288",9.01,"301,913",8.32,"490,669",13.56,"50,330",0,"198,064",5.1,"38,330",4.7,"311,609",7.18,"1,720,017",4.27,"33,543",12.98,"22,969",1.09,"685,563",0.95,"776,902",4.79,"116,321",18.01,"154,944",8.07,"27,487",22.42
113,               Solid waste management,"24,666,426",0.63,"281,704",4.55,"142,848",0.61,"423,847",1.43,"223,458",3.37,"3,307,309",3.25,"141,989",9.83,"298,144",0.8,"87,102",0,"118,357",0,"2,536,450",2.59,"653,652",3.25,"239,888",0,"163,114",1.04,"566,937",3.21,"239,009",3.91,"285,352",1.9,"165,797",2.81,"226,005",2.05,"357,982",1.18,"116,700",3.44,"1,002,719",0.45,"408,718",0.91,"497,773",4,"360,767",2.91,"193,303",3.85,"148,988",4.3,"79,759",2.62,"103,313",2.85,"29,166",0.54,"135,687",2.02,"995,219",2.26,"230,655",0.73,"2,833,775",1.02,"783,653",2.68,"68,250",2.29,"493,171",2.66,"218,073",3,"146,710",1.11,"875,093",3.28,"104,150",0,"358,665",3.41,"49,235",1.91,"410,529",2.68,"1,427,352",2.75,"157,180",2.66,"34,779",5.73,"602,733",3.07,"765,490",1.89,"77,490",6.59,"384,135",4.14,"114,252",16.71
114,                    Capital outlay,"2,250,447",1.34,"27,710",10.55,"50,034",0,"41,726",2.1,"14,118",16.69,"169,210",10.43,"19,432",4.01,"18,183",1.52,"7,176",0,"2,302",0,"112,037",3.05,"38,790",8.87,"22,160",0,"11,705",0.3,"55,992",20.33,"10,271",15.89,"36,373",6.21,"10,326",9.54,"17,023",2.4,"21,381",0.13,"3,389",6.27,"372,905",0.06,"24,039",6.78,"13,544",5.11,"20,858",12.85,"12,747",12.4,"8,120",2.89,"8,589",4.54,"14,117",9.21,"1,652",9.55,"16,082",0.25,"63,508",12.04,"31,671",0.6,"442,077",1.55,"57,703",4.13,"6,017",0.42,"32,522",4.16,"18,367",2.12,"9,755",3.45,"68,764",15.09,"5,528",0,"31,559",5.27,"6,843",1.03,"16,227",12.61,"114,479",8.83,"2,960",3.61,"1,724",2.14,"28,899",9.84,"90,414",3.07,"7,300",44.58,"10,459",59.43,"21,680",10.25
115,     Governmental administration:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,               Financial administration,"44,186,638",0.21,"613,407",1.98,"356,156",0.63,"551,930",0.67,"659,614",0.76,"5,409,304",0.93,"837,623",1.22,"679,403",0.28,"215,263",0,"280,169",0,"2,453,079",1.35,"1,036,723",1.53,"271,727",0,"285,192",0.64,"1,823,168",2.12,"563,928",0.59,"439,813",0.98,"360,303",1.92,"489,452",0.35,"736,533",0.99,"258,015",0.9,"1,088,234",0.29,"978,889",0.78,"1,087,940",0.92,"854,095",0.91,"438,704",1.07,"647,776",1.25,"166,638",0.19,"305,851",1.31,"285,462",0,"172,860",1.35,"1,405,612",0.59,"426,871",0.32,"3,617,265",0.32,"1,178,885",1.3,"134,566",0.39,"2,021,041",1.09,"524,636",1.76,"965,238",0.39,"1,777,085",0.34,"185,406",0,"570,467",0.56,"186,526",0.33,"803,568",0.87,"2,270,689",1.35,"490,168",0.6,"116,651",1.11,"1,155,076",1.01,"893,048",1.2,"277,133",1.18,"629,008",0.82,"210,448",0.45
117,               Judicial and legal,"46,544,337",0.21,"362,247",1.46,"254,253",0.25,"971,356",0.34,"222,794",0.91,"8,676,531",0.14,"824,632",0.61,"729,646",0.05,"199,184",0,"132,515",0,"2,518,119",0.22,"1,307,792",1.02,"300,445",0,"199,191",0.16,"1,595,541",0.52,"595,053",1.43,"351,255",0.93,"317,342",2.26,"629,502",0.15,"694,434",0.28,"106,923",0.28,"929,100",0.04,"1,167,817",0.09,"1,167,757",1.85,"747,520",0.72,"272,804",1.05,"556,963",0.95,"212,152",0.11,"185,011",2.81,"478,551",0,"150,326",0.28,"1,503,010",0.71,"333,596",0.2,"4,143,963",0.3,"912,407",0.44,"112,483",0.07,"1,755,792",3.3,"391,276",0.74,"766,942",0.26,"1,759,592",0.18,"146,371",0,"355,728",0.49,"90,110",0.03,"772,541",4.31,"2,992,197",1.94,"341,343",1.37,"74,177",0.32,"1,027,918",0.61,"1,135,011",0.7,"278,248",0.14,"652,826",1.05,"142,050",0.14
118,               General public buildings,"14,848,760",0.49,"110,021",3.66,"90,046",0.84,"250,478",0.95,"37,536",3.54,"812,671",0.77,"313,314",7.56,"120,898",1,"98,874",0,"206,826",0,"310,232",1.07,"373,159",4.66,"152,639",0,"86,046",0.46,"619,510",1.94,"105,166",3.15,"141,766",3.6,"120,095",3.67,"96,894",3.72,"127,245",0.73,"79,606",1.72,"345,778",0.55,"905,482",1.45,"210,561",3.95,"447,539",0.91,"88,677",2.63,"202,138",17.54,"65,056",0.23,"50,369",2.34,"176,546",0,"83,409",0.81,"373,237",1.81,"108,337",0.94,"1,459,424",1.21,"494,449",3.62,"40,469",1.4,"431,197",3.14,"65,638",3.3,"188,270",4.29,"1,179,065",1.65,"88,813",0,"222,179",0.54,"54,485",0.55,"319,515",4.07,"868,728",3.37,"444,917",0.82,"34,527",4.54,"746,762",0.87,"353,767",0.99,"104,751",0.64,"289,013",4.32,"152,640",0.7
119,               Other governmental administration,"33,559,295",0.82,"459,648",3.23,"295,111",0.89,"620,429",1.86,"229,147",2.82,"6,064,113",4.05,"868,629",2.85,"747,551",0.78,"134,830",0,"79,166",0,"1,226,455",2.8,"945,483",3,"144,235",0,"125,278",2.03,"1,679,882",3.75,"748,203",4.33,"218,980",1.77,"345,766",2.35,"482,802",1.19,"523,853",1.46,"151,806",2.96,"652,512",0.64,"425,244",0.69,"714,038",1.74,"632,287",1.5,"254,126",2.41,"565,911",2.71,"161,040",0.49,"217,521",2.33,"289,285",0,"171,708",2.5,"512,996",2.44,"248,444",1.27,"1,303,129",0.95,"889,947",2.24,"95,912",0.99,"1,241,978",2.64,"430,295",7.38,"715,385",1.45,"1,510,599",2.2,"248,772",0,"548,445",1.55,"91,686",0.67,"528,160",2.46,"1,897,113",2.37,"345,449",2.77,"85,905",3.15,"694,170",1.68,"573,902",2.59,"255,984",1.02,"965,841",1.29,"200,144",0.49
120,     Interest on general debt,"105,221,185",0.13,"1,006,207",1.04,"282,646",0.08,"1,486,637",0.72,"484,624",1.86,"16,809,120",0.6,"2,040,783",1.39,"1,879,583",0.11,"306,814",0,"561,678",0,"4,156,513",0.84,"1,429,095",0.81,"340,275",0,"236,411",0.5,"6,708,523",0.4,"1,915,694",0.45,"613,045",2.16,"841,505",0.57,"1,401,365",0.35,"1,537,890",0.13,"275,973",0.45,"2,004,580",0.13,"2,895,229",0.16,"3,135,578",0.44,"1,666,141",0.54,"482,488",1.04,"1,594,170",0.7,"177,750",0.4,"331,568",2.56,"778,841",0.05,"439,172",0.11,"3,317,807",0.58,"449,431",0.51,"13,726,691",0.2,"1,915,023",0.78,"175,251",1.59,"2,815,815",0.48,"564,912",1.09,"1,152,629",0.61,"4,184,843",0.47,"541,364",0.01,"884,877",0.38,"181,673",0.27,"1,130,117",0.76,"8,983,817",0.53,"439,034",0.55,"132,920",0.54,"2,343,733",0.66,"2,712,904",1.24,"398,171",0.42,"1,303,526",0.69,"46,749",1.85
121,"     General expenditure, n.e.c.:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
