F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129
               Sewerage,"1,010,974",1.69,"132,354",4.73,"341,693",1.71,"507,197",0.33,"199,085",1.19,"1,544,684",2.89,"223,464",1.34,"3,133,115",1.63,"936,022",3.79,"102,815",1.56,"2,214,873",1.50,"337,704",3.19,"797,378",3.30,"2,395,319",4.63,"176,087",0.01,"575,577",2.81,"109,431",2.45,"867,626",3.65,"3,968,681",1.69,"296,922",5.26,"79,337",1.98,"1,588,634",1.16,"1,910,398",3.01,"311,264",1.91,"957,897",1.88,"73,379",5.52
                    Capital outlay,"436,971",2.15,"67,593",8.67,"206,908",2.39,"236,527",0.05,"80,410",0.71,"383,763",7.31,"79,756",3.39,"1,696,293",2.51,"251,321",9.49,"58,087",2.57,"783,324",2.77,"118,844",5.66,"310,689",7.27,"521,634",13.38,"47,005",0.00,"189,031",5.83,"43,145",1.66,"352,132",8.09,"1,555,853",3.72,"43,497",14.97,"19,341",1.37,"628,541",0.98,"789,772",3.70,"106,019",4.02,"152,673",7.77,"25,188",11.72
               Solid waste management,"165,010",3.70,"78,325",2.70,"95,890",2.51,"33,374",0.49,"134,096",2.49,"1,037,154",2.00,"220,256",0.74,"2,808,402",0.94,"759,825",2.99,"71,215",0.95,"486,711",2.73,"225,250",3.61,"133,229",1.08,"891,524",3.49,"142,231",0.00,"346,048",3.54,"50,080",1.44,"407,544",2.78,"1,428,259",2.12,"169,215",3.02,"33,234",5.45,"632,658",2.94,"728,204",1.83,"78,618",4.91,"381,470",3.95,"87,694",1.39
                    Capital outlay,"7,212",3.18,"8,323",3.32,"13,451",4.73,"5,362",3.02,"18,723",11.21,"102,226",6.96,"22,277",0.85,"381,886",1.51,"49,892",12.94,"11,270",1.27,"38,847",4.86,"17,583",2.57,"6,647",0.61,"44,114",13.25,"36,601",0.00,"21,345",4.00,"8,241",2.70,"28,652",5.76,"127,132",4.97,"4,013",5.10,"1,879",1.97,"27,550",8.37,"105,431",1.82,"3,621",22.65,"6,885",40.61,"21,339",5.41
     Governmental administration:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Financial administration,"612,829",0.99,"177,332",0.15,"277,530",1.03,"259,739",0.00,"170,336",0.84,"1,383,700",0.59,"350,464",0.35,"3,485,476",0.32,"1,111,421",1.12,"123,338",0.30,"1,972,404",1.03,"514,394",1.27,"919,819",0.58,"1,692,100",0.33,"174,920",0.00,"661,858",0.40,"159,221",0.34,"783,816",1.03,"2,214,799",1.35,"517,637",0.46,"110,614",1.06,"1,095,668",0.85,"860,764",1.21,"310,405",0.95,"702,640",0.82,"202,186",0.61
               Judicial and legal,"532,036",0.99,"156,762",0.17,"171,945",2.45,"458,316",0.00,"144,716",0.26,"1,496,670",0.67,"326,631",0.14,"4,059,183",0.30,"835,096",0.32,"101,184",0.05,"1,736,340",3.25,"390,202",0.43,"667,972",0.26,"1,731,260",0.17,"140,902",0.00,"346,061",0.44,"84,369",0.03,"722,391",3.30,"2,839,704",1.94,"337,526",0.45,"71,985",0.20,"978,780",0.64,"1,063,552",0.71,"262,994",0.07,"630,031",1.08,"136,952",0.12
               General public buildings,"198,031",7.80,"59,266",0.31,"48,168",2.04,"161,465",0.00,"76,372",1.29,"376,165",1.56,"99,152",0.57,"1,467,378",1.03,"534,756",3.74,"44,231",0.93,"442,709",2.78,"62,341",3.06,"164,926",1.87,"1,449,905",1.36,"96,412",0.00,"174,007",0.75,"56,231",0.50,"345,663",2.70,"861,366",2.54,"382,355",0.36,"26,191",5.75,"716,766",0.96,"443,643",1.02,"97,516",0.72,"309,591",9.30,"126,145",0.84
               Other governmental administration,"534,956",3.18,"161,567",0.49,"220,998",1.70,"306,554",0.00,"166,146",2.01,"478,909",1.40,"264,793",1.23,"1,254,581",0.94,"874,750",2.22,"96,253",1.03,"1,196,282",2.35,"375,700",8.04,"687,462",1.27,"1,401,552",2.24,"273,601",0.00,"447,629",1.63,"102,446",0.49,"496,870",2.06,"1,667,137",2.42,"402,795",2.38,"85,099",2.80,"697,117",1.41,"541,011",4.24,"235,385",1.51,"972,438",1.30,"187,423",0.67
     Interest on general debt,"1,608,732",0.71,"184,672",0.38,"304,494",2.30,"820,245",0.04,"441,444",0.08,"3,298,648",0.48,"478,007",0.42,"13,207,285",0.20,"2,147,335",0.89,"188,926",1.75,"3,002,523",1.07,"604,366",0.83,"1,116,514",0.63,"4,150,160",0.47,"627,675",0.03,"1,065,860",0.33,"188,985",0.25,"1,151,856",0.78,"9,370,219",0.53,"495,715",0.60,"140,728",0.42,"2,370,770",0.70,"2,663,447",0.34,"278,837",0.65,"1,300,310",0.66,"51,752",1.77
"     General expenditure, n.e.c.:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Miscellaneous commercial activities,"27,356",1.62,"64,139",0.99,"7,746",22.11,"11,047",1.96,"7,362",2.06,219,7.30,"6,722",0.92,"32,436",1.16,"26,607",5.36,"260,677",0.01,"63,973",43.23,"51,733",4.75,"26,570",42.14,"6,678",8.92,"8,333",0.00,"5,858",11.75,"38,214",6.02,"78,542",4.10,"33,093",17.10,"24,180",8.59,"43,595",0.33,"17,541",4.67,"71,793",2.04,"2,522",1.34,"11,201",4.47,"25,727",21.89
               Other and unallocable,"2,332,483",1.21,"288,669",0.44,"797,708",2.38,"644,509",0.07,"737,177",0.72,"8,707,831",1.31,"988,477",0.25,"23,030,437",0.42,"1,686,359",1.91,"565,294",0.40,"2,784,981",3.16,"689,808",1.60,"2,339,387",0.79,"3,136,550",1.26,"366,765",0.44,"947,250",0.67,"281,598",1.43,"1,614,921",2.47,"5,549,606",2.50,"997,734",2.85,"155,018",4.10,"2,339,487",1.34,"1,630,911",1.87,"737,356",0.30,"1,166,550",1.75,"606,825",1.22
     Utility expenditure,"2,701,223",1.74,"187,123",2.56,"4,388,157",0.79,"1,368,661",0.07,"149,742",1.29,"3,823,432",1.29,"739,490",0.32,"33,145,211",0.22,"5,237,094",1.53,"428,285",0.52,"3,760,827",1.84,"2,131,547",2.40,"2,434,507",1.73,"4,771,442",2.57,"320,494",0.36,"3,491,306",1.12,"359,213",1.01,"9,478,040",1.45,"17,679,823",0.87,"2,218,883",1.80,"299,958",2.56,"2,827,806",1.10,"8,877,144",1.04,"367,476",2.34,"2,449,830",1.63,"325,522",2.60
               Capital outlay,"269,269",3.75,"65,210",7.02,"674,666",2.24,"246,982",0.09,"25,519",1.87,"995,193",3.69,"128,181",1.02,"10,197,656",0.50,"945,647",5.12,"173,773",0.23,"710,791",2.16,"539,086",4.80,"761,537",3.36,"1,105,851",9.29,"67,866",0.00,"356,332",5.20,"49,255",1.60,"938,267",2.31,"4,426,868",1.77,"285,490",11.32,"49,622",1.63,"742,298",2.26,"2,459,883",2.58,"105,093",2.41,"172,688",0.91,"137,335",5.32
          Water supply,"753,490",4.63,"146,140",3.27,"320,050",3.69,"985,008",0.09,"112,184",1.67,"870,945",4.96,"341,700",0.70,"2,923,229",2.04,"1,421,569",4.33,"388,137",0.52,"1,844,635",1.59,"871,153",4.96,"907,083",3.38,"1,510,340",7.49,"203,157",0.57,"779,379",2.94,"131,203",2.34,"1,220,465",2.59,"7,920,725",1.49,"695,686",4.87,"83,905",2.17,"1,252,346",1.91,"1,323,814",5.95,"302,653",2.16,"701,804",1.85,"202,764",4.09
          Electric power,"1,353,892",2.30,830,13.25,"3,743,976",0.87,"120,617",0.21,"11,179",0.00,"178,848",13.46,"181,782",0.03,"6,965,750",0.58,"2,841,875",1.80,"25,153",3.48,"1,018,667",4.92,"1,151,617",2.30,"660,188",3.35,"150,418",13.99,"7,725",0.00,"2,391,854",0.41,"204,380",0.84,"6,676,562",1.87,"6,469,618",1.50,"1,099,915",1.89,"184,585",4.04,"447,817",4.10,"5,171,240",0.76,"7,992",0.02,"1,357,144",2.77,"111,743",1.54
          Gas supply,"132,694",4.16,0,0.00,"274,108",0.77,0,0.00,0,0.00,0,0.00,"84,931",0.19,"18,069",31.79,"147,562",2.93,333,41.59,"50,588",0.21,"33,145",19.95,"2,079",0.00,"604,136",0.02,0,0.00,"250,627",9.63,"12,228",7.43,"1,353,659",3.42,"573,895",0.89,"8,347",37.20,0,0.00,"213,634",0.15,"9,224",76.09,405,0.00,"1,219",5.00,0,0.00
          Transit,"461,147",0.23,"40,153",0.31,"50,023",0.14,"263,036",0.00,"26,379",1.72,"2,773,639",0.00,"131,077",0.07,"23,238,163",0.03,"826,088",0.77,"14,662",0.01,"846,937",4.41,"75,632",0.78,"865,157",2.17,"2,506,548",1.70,"109,612",0.00,"69,446",25.76,"11,402",0.32,"227,354",1.43,"2,715,585",0.57,"414,935",0.08,"31,468",0.12,"914,009",0.79,"2,372,866",1.11,"56,426",9.92,"389,663",1.08,"11,015",0.00
     Liquor store expenditure,0,0.00,"78,470",0.00,0,0.00,0,0.00,"495,034",0.00,0,0.00,0,0.00,0,0.00,"634,141",2.20,0,0.00,"755,412",0.00,0,0.00,"670,368",0.00,"1,762,255",0.00,0,0.00,0,0.00,"17,159",7.31,0,0.00,0,0.00,"240,154",0.00,"57,216",0.00,"573,490",0.00,0,0.00,"76,406",0.00,0,0.00,"95,540",0.00
     Insurance trust expenditure,"5,065,092",0.25,"947,922",0.03,"1,062,282",1.25,"2,356,272",0.00,"759,745",0.00,"12,763,364",0.00,"2,195,410",0.00,"32,953,841",0.00,"5,756,018",0.00,"717,875",0.00,"16,819,899",0.00,"2,696,139",0.16,"5,265,968",0.00,"14,415,328",1.54,"1,470,498",0.53,"3,331,620",0.00,"535,467",0.00,"3,239,382",1.00,"18,579,958",0.21,"1,706,626",0.00,"380,238",0.00,"5,763,521",0.86,"7,021,509",0.09,"1,442,408",0.46,"5,702,800",0.00,"761,738",0.00
          Unemployment compensation,"365,140",0.00,"108,173",0.00,"93,300",0.00,"371,899",0.00,"74,006",0.00,"2,200,044",0.00,"194,648",0.00,"2,530,138",0.00,"346,678",0.00,"127,939",0.00,"1,005,249",0.00,"271,902",0.00,"537,965",0.00,"2,263,379",0.00,"169,390",0.00,"156,864",0.00,"26,215",0.00,"304,801",0.00,"2,467,411",0.00,"176,367",0.00,"77,421",0.00,"451,964",0.00,"1,012,283",0.00,"210,875",0.00,"631,630",0.00,"76,945",0.00
          Employee retirement,"4,610,412",0.28,"718,587",0.03,"968,122",1.37,"1,984,373",0.00,"685,739",0.00,"9,832,581",0.00,"1,985,205",0.00,"28,959,762",0.00,"5,409,340",0.00,"341,851",0.00,"14,742,961",0.00,"2,237,465",0.20,"4,430,191",0.00,"11,852,964",1.88,"1,120,392",0.69,"3,086,202",0.00,"507,387",0.00,"2,934,581",1.10,"15,738,494",0.24,"1,340,867",0.00,"302,817",0.00,"5,307,579",0.94,"3,963,080",0.15,"1,198,192",0.56,"5,069,116",0.00,"495,008",0.00
          Workers' compensation,"89,540",0.00,"121,162",0.00,860,0.00,0,0.00,0,0.00,"209,996",0.00,"15,557",0.00,"1,463,941",0.00,0,0.00,"248,085",0.00,"1,071,689",0.00,"186,772",0.00,"297,812",0.00,"298,985",0.00,"1,654",0.00,"88,554",0.00,"1,865",0.00,0,0.00,"374,053",0.00,"189,392",0.00,0,0.00,"3,978",0.00,"2,046,146",0.00,"33,341",0.00,"2,054",0.00,"189,785",0.00
          Other insurance trust,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"520,743",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"179,062",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
            Debt outstanding,"46,938,054",1.14,"5,151,531",0.44,"15,497,965",1.36,"28,271,924",0.04,"10,797,158",0.12,"100,438,603",0.49,"15,518,137",0.18,"352,648,620",0.18,"48,743,077",0.81,"6,072,378",2.25,"85,589,105",2.11,"19,096,694",1.37,"35,065,161",0.69,"127,795,178",0.96,"11,609,592",0.03,"41,911,462",0.24,"5,856,143",0.31,"45,820,752",0.74,"277,290,993",0.63,"20,602,808",1.85,"4,662,143",1.64,"65,116,075",0.67,"81,290,718",0.62,"11,511,553",0.44,"44,282,060",0.75,"1,980,437",1.24
Short-term,"94,757",0.00,"3,328",0.00,"589,799",0.00,"420,641",0.00,"7,691",0.00,"2,793,621",6.75,"52,887",0.00,"7,549,752",2.89,"106,623",14.76,"4,487",0.00,"1,346,436",4.38,"86,058",0.00,"65,968",0.05,"421,784",0.92,"68,711",0.00,"499,825",4.11,"3,014",0.00,"908,782",0.00,"8,881,533",0.15,"118,899",0.07,"200,189",2.03,"203,396",3.39,"424,261",0.64,"7,728",0.00,"652,408",0.35,"2,739",0.00
Long-term,"46,843,297",1.14,"5,148,203",0.44,"14,908,166",1.42,"27,851,283",0.04,"10,789,467",0.12,"97,644,982",0.47,"15,465,250",0.19,"345,098,868",0.17,"48,636,454",0.81,"6,067,891",2.25,"84,242,669",2.15,"19,010,636",1.38,"34,999,193",0.69,"127,373,394",0.97,"11,540,881",0.03,"41,411,637",0.24,"5,853,129",0.31,"44,911,970",0.75,"268,409,460",0.65,"20,483,909",1.86,"4,461,954",1.71,"64,912,679",0.67,"80,866,457",0.62,"11,503,825",0.44,"43,629,652",0.76,"1,977,698",1.24
     Public debt for private purposes,"16,785,308",0.10,"2,854,565",0.03,"1,201,949",0.00,"3,182,500",0.00,"3,964,049",0.00,"15,736,285",0.00,"4,570,430",0.00,"68,908,257",0.58,"11,004,165",0.55,"1,457,887",0.00,"29,483,028",6.05,"2,154,983",0.84,"6,190,595",0.00,"37,244,373",0.27,"5,018,290",0.00,"6,368,770",0.13,"2,564,140",0.07,"14,750,633",0.29,"30,266,375",2.32,"3,811,348",0.00,"1,440,445",0.00,"8,912,294",1.34,"10,352,999",0.00,"4,536,689",0.11,"11,334,239",0.67,"743,632",0.00
Long-term debt issued,"5,360,684",0.27,"288,932",0.53,"2,767,053",1.82,"3,393,130",0.00,"1,600,738",0.24,"8,267,727",1.78,"2,260,015",0.20,"38,503,023",0.38,"6,301,238",1.34,"1,608,382",0.29,"8,230,561",0.58,"2,541,780",4.61,"4,993,149",0.52,"16,271,131",1.60,"2,181,598",0.00,"5,277,816",0.45,"1,031,042",0.14,"4,831,300",0.84,"41,087,864",0.86,"2,937,863",0.77,"454,307",0.87,"9,448,902",0.92,"12,048,506",1.30,"1,146,206",0.05,"8,343,471",1.14,"366,490",0.77
Long-term debt retired,"5,295,869",2.05,"492,586",0.55,"2,547,664",4.28,"4,068,158",0.01,"1,636,337",0.08,"7,429,662",1.16,"2,556,356",0.47,"39,659,974",0.27,"8,423,164",1.07,"1,078,848",1.25,"9,675,546",2.37,"2,516,483",5.13,"5,116,342",0.52,"17,614,031",1.52,"2,604,472",0.01,"5,790,839",0.29,"840,404",0.15,"4,810,724",0.99,"40,104,519",0.75,"2,935,781",0.89,"443,140",0.95,"9,368,846",1.01,"10,724,346",0.89,"1,375,787",0.23,"8,372,757",0.77,"413,765",1.10
            Cash and security holdings,"112,065,477",0.83,"21,771,557",0.09,"32,809,791",0.91,"50,270,223",0.11,"17,930,163",0.31,"141,652,368",0.24,"61,658,637",0.14,"643,813,406",0.08,"134,604,765",0.12,"29,944,630",1.23,"285,003,561",0.75,"58,000,413",0.21,"109,593,285",0.36,"205,866,540",1.35,"19,443,391",0.31,"61,414,949",0.16,"19,222,083",0.17,"93,299,973",0.41,"484,501,154",0.41,"42,714,223",0.25,"9,195,906",0.45,"134,871,405",0.34,"133,311,370",0.27,"25,046,813",0.17,"134,314,401",0.16,"35,633,988",0.84
Insurance trust funds,"68,707,520",1.09,"11,262,689",0.01,"16,639,924",1.17,"35,211,146",0.00,"8,337,948",0.00,"81,178,031",0.00,"26,176,228",0.00,"459,177,895",0.00,"90,541,735",0.00,"6,983,465",0.00,"196,341,372",0.00,"35,195,462",0.09,"80,147,903",0.00,"107,988,198",2.51,"9,282,183",0.65,"29,978,143",0.00,"11,497,711",0.00,"52,957,370",0.58,"229,981,748",0.19,"27,053,856",0.00,"4,427,397",0.00,"83,316,506",0.48,"86,577,442",0.04,"14,497,019",0.02,"103,399,799",0.00,"10,131,712",0.00
     Unemployment compensation,"583,476",0.00,"560,004",0.00,"779,678",0.00,"694,854",0.00,"575,920",0.00,"1,834,420",0.00,"333,470",0.00,"465,852",0.00,"1,379,260",0.00,"306,472",0.00,"202,574",0.00,"2,468,514",0.00,"5,158,872",0.00,"2,254,896",0.00,"143,762",0.00,"350,354",0.00,"178,884",0.00,"1,853,296",0.00,"4,147,804",0.00,"1,762,962",0.00,"385,986",0.00,"1,518,058",0.00,"7,266,938",0.00,"229,440",0.00,"1,027,690",0.00,"700,700",0.00
     Employee retirement,"68,118,725",1.10,"9,264,296",0.01,"15,856,389",1.22,"34,516,292",0.00,"7,762,028",0.00,"79,080,611",0.00,"25,793,741",0.00,"444,303,019",0.00,"89,162,475",0.00,"4,921,443",0.00,"172,910,248",0.00,"31,180,147",0.10,"70,533,617",0.00,"104,122,721",2.60,"9,032,453",0.66,"29,222,434",0.00,"11,317,898",0.00,"51,104,074",0.60,"220,112,211",0.20,"23,327,512",0.00,"4,041,411",0.00,"81,792,827",0.49,"64,245,057",0.05,"12,653,382",0.02,"102,364,140",0.00,"7,692,952",0.00
     Workers' compensation,"5,319",0.00,"1,438,389",0.00,"3,857",0.00,0,0.00,0,0.00,"143,114",0.00,"49,017",0.00,"14,409,024",0.00,0,0.00,"1,755,550",0.00,"23,228,550",0.00,"1,546,801",0.00,"4,455,414",0.00,"1,610,581",0.00,0,0.00,"405,355",0.00,929,0.00,0,0.00,"5,721,733",0.00,"1,963,382",0.00,0,0.00,"5,621",0.00,"15,065,447",0.00,"1,614,197",0.00,"7,969",0.00,"1,738,060",0.00
     Miscellaneous,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"119,886",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"105,968",0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Other than insurance trust funds,"43,357,957",1.30,"10,508,868",0.19,"16,169,867",1.40,"15,059,077",0.38,"9,592,215",0.57,"60,474,337",0.56,"35,482,409",0.24,"184,635,511",0.29,"44,063,030",0.38,"22,961,165",1.60,"88,662,189",2.40,"22,804,951",0.51,"29,445,382",1.33,"97,878,342",0.61,"10,161,208",0.05,"31,436,806",0.32,"7,724,372",0.43,"40,342,603",0.58,"254,519,406",0.76,"15,660,367",0.69,"4,768,509",0.86,"51,554,899",0.45,"46,733,928",0.78,"10,549,794",0.41,"30,914,602",0.68,"25,502,276",1.17
   By purpose:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Offsets to debt,"19,542,472",1.27,"3,358,775",0.05,"2,235,905",2.00,"4,355,458",0.05,"4,992,018",0.00,"22,276,538",0.11,"5,681,854",1.36,"98,552,701",0.42,"12,451,289",0.49,"2,440,381",2.89,"38,988,821",4.70,"5,153,002",0.81,"8,672,564",1.70,"42,947,844",0.48,"6,578,948",0.00,"9,486,354",0.19,"2,791,105",0.65,"19,322,181",0.30,"47,356,281",1.76,"4,049,855",0.19,"2,318,396",0.05,"18,294,049",0.76,"13,443,359",0.11,"4,707,742",0.12,"15,219,053",0.16,"802,801",0.47
          Bond funds,"2,178,926",1.90,"348,149",0.28,"1,205,289",1.32,"2,434,139",0.00,"240,939",1.59,"7,146,354",2.45,"2,816,757",0.00,"12,428,179",1.11,"4,994,151",0.96,"406,820",0.42,"6,608,260",0.50,"1,542,414",2.85,"2,259,923",1.26,"10,103,683",1.15,"294,808",0.00,"2,106,316",1.10,"73,082",0.99,"2,523,912",1.65,"30,540,395",1.19,"2,219,606",1.06,"86,484",4.21,"4,208,147",2.37,"5,441,759",0.64,"451,902",0.63,"1,532,842",2.04,"309,381",0.61
          Other,"21,636,559",2.33,"6,801,944",0.30,"12,728,673",1.74,"8,269,480",0.70,"4,359,258",1.25,"31,051,445",0.92,"26,983,798",0.14,"73,654,631",0.43,"26,617,590",0.55,"20,113,964",1.80,"43,065,108",2.50,"16,109,535",0.62,"18,512,895",1.96,"44,826,815",1.22,"3,287,452",0.15,"19,844,136",0.48,"4,860,185",0.58,"18,496,510",1.20,"176,622,730",0.97,"9,390,906",1.13,"2,363,629",1.73,"29,052,703",0.55,"27,848,810",1.30,"5,390,150",0.79,"14,162,707",1.45,"24,390,094",1.22
"2 The total of ""net earnings"" is a calculated statistic (the item code in the data file is X08), and thus can be positive or negative.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net earnings is the sum of earnings on investments plus gains on investments minus losses on investments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The change made in 2002 for asset valuation from book to market value in accordance with Statement 34 of the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governmental Accounting Standards Board is reflected in the calculated statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Revision date: March 4, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
