,Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
113,               Solid waste management,"23,941,702",0.57,"258,836",4.6,"143,299",0.64,"387,708",1.5,"224,799",3.04,"2,928,725",3.19,"135,353",7.7,"298,901",0.71,"83,234",0,"114,296",0,"2,379,120",2.39,"694,751",2.61,"258,829",0,"160,483",1.04,"563,913",2.36,"230,689",4.39,"265,613",1.86,"170,650",3.69,"214,891",2.19,"344,709",1,"117,276",2.52,"936,640",0.33,"382,537",1.01,"495,403",3.56,"340,819",3.35,"184,712",4.91,"165,010",3.7,"78,325",2.7,"95,890",2.51,"33,374",0.49,"134,096",2.49,"1,037,154",2,"220,256",0.74,"2,808,402",0.94,"759,825",2.99,"71,215",0.95,"486,711",2.73,"225,250",3.61,"133,229",1.08,"891,524",3.49,"142,231",0,"346,048",3.54,"50,080",1.44,"407,544",2.78,"1,428,259",2.12,"169,215",3.02,"33,234",5.45,"632,658",2.94,"728,204",1.83,"78,618",4.91,"381,470",3.95,"87,694",1.39
114,                    Capital outlay,"2,157,804",1.07,"25,109",13.22,"57,803",0,"20,412",4.06,"20,497",4.83,"140,568",10.34,"15,117",3.79,"16,204",1.49,"4,846",0,"2,848",0,"74,589",5.12,"92,872",2.33,"34,589",0,"19,527",0.11,"51,194",10.16,"8,262",7.54,"21,914",6.56,"20,180",22.08,"16,731",6.47,"14,844",0.19,"7,415",4.3,"314,722",0.08,"17,230",2.07,"17,300",13.92,"13,636",12.36,"8,893",19.32,"7,212",3.18,"8,323",3.32,"13,451",4.73,"5,362",3.02,"18,723",11.21,"102,226",6.96,"22,277",0.85,"381,886",1.51,"49,892",12.94,"11,270",1.27,"38,847",4.86,"17,583",2.57,"6,647",0.61,"44,114",13.25,"36,601",0,"21,345",4,"8,241",2.7,"28,652",5.76,"127,132",4.97,"4,013",5.1,"1,879",1.97,"27,550",8.37,"105,431",1.82,"3,621",22.65,"6,885",40.61,"21,339",5.41
115,     Governmental administration:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,               Financial administration,"43,116,935",0.23,"586,779",1.64,"338,775",0.64,"553,316",0.57,"667,318",0.67,"5,203,616",1.35,"813,029",1.09,"624,681",0.29,"210,531",0,"262,970",0,"2,409,921",1.3,"947,772",1.26,"262,527",0,"292,348",0.41,"1,848,121",1.97,"521,838",0.65,"443,860",0.93,"346,314",1.54,"491,958",0.37,"792,505",1.03,"243,498",0.68,"1,028,211",0.31,"957,253",0.81,"1,090,568",0.73,"821,766",0.83,"512,050",0.9,"612,829",0.99,"177,332",0.15,"277,530",1.03,"259,739",0,"170,336",0.84,"1,383,700",0.59,"350,464",0.35,"3,485,476",0.32,"1,111,421",1.12,"123,338",0.3,"1,972,404",1.03,"514,394",1.27,"919,819",0.58,"1,692,100",0.33,"174,920",0,"661,858",0.4,"159,221",0.34,"783,816",1.03,"2,214,799",1.35,"517,637",0.46,"110,614",1.06,"1,095,668",0.85,"860,764",1.21,"310,405",0.95,"702,640",0.82,"202,186",0.61
117,               Judicial and legal,"44,330,807",0.22,"351,911",1.56,"261,625",0.26,"961,423",0.39,"201,835",0.92,"7,809,942",0.37,"793,648",0.53,"706,037",0.05,"193,520",0,"107,058",0,"2,408,991",0.22,"1,212,104",1.01,"289,815",0,"211,500",0.12,"1,642,325",0.57,"568,591",1.49,"360,586",0.91,"315,167",2.05,"608,193",0.15,"697,553",0.28,"96,789",0.24,"880,555",0.07,"1,135,194",0.08,"1,138,136",2.02,"707,681",0.59,"247,068",1.16,"532,036",0.99,"156,762",0.17,"171,945",2.45,"458,316",0,"144,716",0.26,"1,496,670",0.67,"326,631",0.14,"4,059,183",0.3,"835,096",0.32,"101,184",0.05,"1,736,340",3.25,"390,202",0.43,"667,972",0.26,"1,731,260",0.17,"140,902",0,"346,061",0.44,"84,369",0.03,"722,391",3.3,"2,839,704",1.94,"337,526",0.45,"71,985",0.2,"978,780",0.64,"1,063,552",0.71,"262,994",0.07,"630,031",1.08,"136,952",0.12
118,               General public buildings,"15,126,632",0.45,"109,501",3.67,"126,287",0.55,"197,975",2.57,"41,639",3.65,"796,122",0.59,"267,613",8.26,"133,796",1.26,"99,001",0,"195,481",0,"404,449",2.04,"415,781",6.25,"133,219",0,"104,370",0.35,"650,947",1.36,"116,255",2.5,"132,740",3.96,"124,508",3.53,"92,728",1.93,"199,464",0.5,"81,758",1.41,"362,769",0.56,"805,121",1.12,"241,982",3.07,"375,624",1.7,"96,751",1.96,"198,031",7.8,"59,266",0.31,"48,168",2.04,"161,465",0,"76,372",1.29,"376,165",1.56,"99,152",0.57,"1,467,378",1.03,"534,756",3.74,"44,231",0.93,"442,709",2.78,"62,341",3.06,"164,926",1.87,"1,449,905",1.36,"96,412",0,"174,007",0.75,"56,231",0.5,"345,663",2.7,"861,366",2.54,"382,355",0.36,"26,191",5.75,"716,766",0.96,"443,643",1.02,"97,516",0.72,"309,591",9.3,"126,145",0.84
119,               Other governmental administration,"32,185,208",0.63,"447,077",3.13,"336,325",0.78,"633,793",2.12,"227,749",2.65,"5,811,366",2.89,"798,371",2.48,"785,894",0.77,"123,427",0,"76,310",0,"1,153,963",2.24,"983,099",2.45,"149,351",0,"112,727",2.11,"1,610,436",3.31,"710,220",4.27,"208,001",1.83,"342,965",2.07,"455,094",1.23,"426,538",1.72,"139,315",2.67,"588,794",0.76,"423,647",0.63,"701,169",1.55,"563,505",1.86,"246,618",2.3,"534,956",3.18,"161,567",0.49,"220,998",1.7,"306,554",0,"166,146",2.01,"478,909",1.4,"264,793",1.23,"1,254,581",0.94,"874,750",2.22,"96,253",1.03,"1,196,282",2.35,"375,700",8.04,"687,462",1.27,"1,401,552",2.24,"273,601",0,"447,629",1.63,"102,446",0.49,"496,870",2.06,"1,667,137",2.42,"402,795",2.38,"85,099",2.8,"697,117",1.41,"541,011",4.24,"235,385",1.51,"972,438",1.3,"187,423",0.67
120,     Interest on general debt,"105,612,997",0.14,"1,031,439",0.97,"361,331",0.09,"1,304,958",0.94,"471,419",1.73,"16,671,528",0.65,"2,076,436",1.35,"1,799,399",0.11,"304,285",0,"521,577",0,"4,292,434",0.9,"1,443,250",2.02,"331,896",0,"237,056",0.74,"6,502,318",0.36,"2,065,313",0.42,"610,162",1.09,"775,779",0.51,"1,620,965",0.59,"1,529,311",0.13,"299,135",0.38,"2,052,955",0.14,"2,909,412",0.16,"2,991,453",0.42,"1,712,837",0.57,"436,844",1.04,"1,608,732",0.71,"184,672",0.38,"304,494",2.3,"820,245",0.04,"441,444",0.08,"3,298,648",0.48,"478,007",0.42,"13,207,285",0.2,"2,147,335",0.89,"188,926",1.75,"3,002,523",1.07,"604,366",0.83,"1,116,514",0.63,"4,150,160",0.47,"627,675",0.03,"1,065,860",0.33,"188,985",0.25,"1,151,856",0.78,"9,370,219",0.53,"495,715",0.6,"140,728",0.42,"2,370,770",0.7,"2,663,447",0.34,"278,837",0.65,"1,300,310",0.66,"51,752",1.77
121,"     General expenditure, n.e.c.:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,               Miscellaneous commercial activities,"7,287,369",2.68,"19,780",24.08,"483,822",1.65,"3,358",25.22,"41,217",0.16,"4,120,992",4.67,"111,621",2.66,"4,601",1.5,"1,541",0,0,0,"1,030,802",0.15,"41,734",2.65,373,0,"40,815",1.31,"21,502",18.59,"17,790",4.63,"50,827",3.66,"14,781",9.01,"62,439",1.23,"62,614",0.82,"7,338",3.58,"16,559",0.55,"23,840",0.1,"106,156",1.64,"43,540",6.18,"5,463",6.37,"27,356",1.62,"64,139",0.99,"7,746",22.11,"11,047",1.96,"7,362",2.06,219,7.3,"6,722",0.92,"32,436",1.16,"26,607",5.36,"260,677",0.01,"63,973",43.23,"51,733",4.75,"26,570",42.14,"6,678",8.92,"8,333",0,"5,858",11.75,"38,214",6.02,"78,542",4.1,"33,093",17.1,"24,180",8.59,"43,595",0.33,"17,541",4.67,"71,793",2.04,"2,522",1.34,"11,201",4.47,"25,727",21.89
123,               Other and unallocable,"130,125,361",0.31,"1,506,041",1.72,"2,191,093",0.35,"1,173,635",1.72,"418,521",1.27,"11,464,691",2.13,"2,092,218",3.38,"2,859,127",0.72,"209,208",0,"901,104",0,"6,003,935",1.76,"1,983,051",4.66,"1,265,532",0,"320,013",0.62,"9,185,161",0.86,"1,558,902",2.02,"1,265,676",1.82,"1,089,502",2.18,"972,140",0.84,"1,867,683",0.66,"644,943",1.58,"3,501,348",0.28,"6,415,912",0.82,"3,518,377",1.91,"1,665,879",1.74,"927,978",1.76,"2,332,483",1.21,"288,669",0.44,"797,708",2.38,"644,509",0.07,"737,177",0.72,"8,707,831",1.31,"988,477",0.25,"23,030,437",0.42,"1,686,359",1.91,"565,294",0.4,"2,784,981",3.16,"689,808",1.6,"2,339,387",0.79,"3,136,550",1.26,"366,765",0.44,"947,250",0.67,"281,598",1.43,"1,614,921",2.47,"5,549,606",2.5,"997,734",2.85,"155,018",4.1,"2,339,487",1.34,"1,630,911",1.87,"737,356",0.3,"1,166,550",1.75,"606,825",1.22
124,     Utility expenditure,"228,353,988",0.3,"3,079,279",4.77,"752,347",0.66,"5,768,073",0.57,"1,004,349",1.59,"41,697,322",1.16,"4,473,402",2.08,"1,396,843",1.4,"560,369",0,"2,834,769",0,"11,112,716",1.43,"6,239,872",1.84,"1,155,804",0,"250,921",2.31,"8,443,048",1.52,"2,707,087",2.47,"1,274,662",11.71,"1,549,869",0.87,"2,103,436",1.87,"1,552,086",0.99,"203,867",4.9,"2,559,573",0.3,"6,504,132",0.46,"3,376,893",1.14,"2,827,540",1.58,"963,493",3.86,"2,701,223",1.74,"187,123",2.56,"4,388,157",0.79,"1,368,661",0.07,"149,742",1.29,"3,823,432",1.29,"739,490",0.32,"33,145,211",0.22,"5,237,094",1.53,"428,285",0.52,"3,760,827",1.84,"2,131,547",2.4,"2,434,507",1.73,"4,771,442",2.57,"320,494",0.36,"3,491,306",1.12,"359,213",1.01,"9,478,040",1.45,"17,679,823",0.87,"2,218,883",1.8,"299,958",2.56,"2,827,806",1.1,"8,877,144",1.04,"367,476",2.34,"2,449,830",1.63,"325,522",2.6
125,               Capital outlay,"54,829,162",0.5,"343,083",8.05,"277,815",0.82,"1,382,727",0.8,"156,559",3.99,"11,878,162",0.99,"1,582,283",2.49,"325,474",1.47,"50,520",0,"872,619",0,"1,671,925",3.19,"1,104,174",1.48,"612,164",0,"64,455",5.15,"1,981,590",2.34,"515,375",1.41,"237,891",61.44,"234,506",2.66,"347,229",7.84,"390,828",2.12,"63,884",11.74,"692,361",0,"2,087,079",0.43,"664,525",2.79,"504,271",3.4,"157,305",7.06,"269,269",3.75,"65,210",7.02,"674,666",2.24,"246,982",0.09,"25,519",1.87,"995,193",3.69,"128,181",1.02,"10,197,656",0.5,"945,647",5.12,"173,773",0.23,"710,791",2.16,"539,086",4.8,"761,537",3.36,"1,105,851",9.29,"67,866",0,"356,332",5.2,"49,255",1.6,"938,267",2.31,"4,426,868",1.77,"285,490",11.32,"49,622",1.63,"742,298",2.26,"2,459,883",2.58,"105,093",2.41,"172,688",0.91,"137,335",5.32
126,          Water supply,"66,905,364",0.66,"896,380",4.2,"148,786",1.65,"1,264,292",1.8,"484,317",2.98,"15,073,016",2.07,"1,682,099",4.34,"364,258",2.45,"100,968",0,"320,815",0,"4,340,630",2.11,"2,271,399",1.76,"335,402",0,"145,255",3.02,"2,735,987",2.79,"696,164",2,"568,855",25.74,"604,936",2.01,"890,009",4.12,"583,461",1.66,"154,780",6.37,"1,218,275",0.61,"1,136,618",1.36,"1,599,267",1.85,"711,119",2.07,"364,712",3.89,"753,490",4.63,"146,140",3.27,"320,050",3.69,"985,008",0.09,"112,184",1.67,"870,945",4.96,"341,700",0.7,"2,923,229",2.04,"1,421,569",4.33,"388,137",0.52,"1,844,635",1.59,"871,153",4.96,"907,083",3.38,"1,510,340",7.49,"203,157",0.57,"779,379",2.94,"131,203",2.34,"1,220,465",2.59,"7,920,725",1.49,"695,686",4.87,"83,905",2.17,"1,252,346",1.91,"1,323,814",5.95,"302,653",2.16,"701,804",1.85,"202,764",4.09
127,          Electric power,"79,044,704",0.57,"1,730,403",8.04,"526,736",0.83,"3,615,680",0.64,"486,636",1.37,"11,746,317",2.75,"984,392",5.81,"368,302",2.91,"336,570",0,0,0,"4,838,680",2.67,"2,284,445",3.56,0,0,"75,689",4.35,"1,077,171",4.81,"1,138,099",5.72,"530,788",5.34,"848,706",0.65,"666,570",1.82,"627,333",1.66,"13,225",0.97,"73,226",2.33,"1,438,509",1.68,"1,172,703",1.79,"1,494,508",2.82,"434,649",7.07,"1,353,892",2.3,830,13.25,"3,743,976",0.87,"120,617",0.21,"11,179",0,"178,848",13.46,"181,782",0.03,"6,965,750",0.58,"2,841,875",1.8,"25,153",3.48,"1,018,667",4.92,"1,151,617",2.3,"660,188",3.35,"150,418",13.99,"7,725",0,"2,391,854",0.41,"204,380",0.84,"6,676,562",1.87,"6,469,618",1.5,"1,099,915",1.89,"184,585",4.04,"447,817",4.1,"5,171,240",0.76,"7,992",0.02,"1,357,144",2.77,"111,743",1.54
128,          Gas supply,"7,457,162",1.36,"390,895",7.26,"29,099",0.03,"55,224",4.14,"3,247",11.08,"222,404",13.13,"208,267",0.47,"23,364",0.09,0,0,0,0,"218,141",4.74,"900,257",7.85,0,0,33,8.69,"70,159",18.9,"676,307",0.84,"62,222",5.62,"46,737",4.34,"357,271",2.09,"107,115",5.61,0,0,182,42.86,"51,393",0,0,0,"122,658",0.36,"141,304",10.05,"132,694",4.16,0,0,"274,108",0.77,0,0,0,0,0,0,"84,931",0.19,"18,069",31.79,"147,562",2.93,333,41.59,"50,588",0.21,"33,145",19.95,"2,079",0,"604,136",0.02,0,0,"250,627",9.63,"12,228",7.43,"1,353,659",3.42,"573,895",0.89,"8,347",37.2,0,0,"213,634",0.15,"9,224",76.09,405,0,"1,219",5,0,0
129,          Transit,"74,946,758",0.28,"61,601",1.05,"47,726",0,"832,877",0.61,"30,149",2.72,"14,655,585",1.22,"1,598,644",0.44,"640,919",2.15,"122,831",0,"2,513,954",0,"1,715,265",0.57,"783,771",0.04,"820,402",0,"29,944",6.24,"4,559,731",1.94,"196,517",0.42,"112,797",2.44,"49,490",0.28,"189,586",0.1,"234,177",0.16,"35,862",4.48,"1,267,890",0.01,"3,877,612",0.23,"604,923",2.19,"499,255",0.82,"22,828",25.43,"461,147",0.23,"40,153",0.31,"50,023",0.14,"263,036",0,"26,379",1.72,"2,773,639",0,"131,077",0.07,"23,238,163",0.03,"826,088",0.77,"14,662",0.01,"846,937",4.41,"75,632",0.78,"865,157",2.17,"2,506,548",1.7,"109,612",0,"69,446",25.76,"11,402",0.32,"227,354",1.43,"2,715,585",0.57,"414,935",0.08,"31,468",0.12,"914,009",0.79,"2,372,866",1.11,"56,426",9.92,"389,663",1.08,"11,015",0
130,     Liquor store expenditure,"7,686,609",0.25,"285,733",0,"3,072",63.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"112,560",0,0,0,0,0,"192,289",0,0,0,"5,204",0,0,0,0,0,"259,788",0,0,0,"824,929",0,"291,141",4.33,"256,248",0,0,0,"78,470",0,0,0,0,0,"495,034",0,0,0,0,0,0,0,"634,141",2.2,0,0,"755,412",0,0,0,"670,368",0,"1,762,255",0,0,0,0,0,"17,159",7.31,0,0,0,0,"240,154",0,"57,216",0,"573,490",0,0,0,"76,406",0,0,0,"95,540",0
131,     Insurance trust expenditure,"325,108,671",0.13,"3,680,308",0.04,"1,296,371",0,"4,484,180",0.02,"1,943,235",0.06,"59,820,206",0.19,"5,680,364",0.91,"5,154,891",2.05,"749,681",0.29,"482,504",0,"10,959,011",1.71,"7,230,936",1.59,"1,359,592",0,"1,047,543",0,"18,754,167",0.4,"3,033,789",0.13,"2,395,670",0,"1,972,065",0,"4,271,561",0.1,"4,657,696",0.24,"1,036,218",0,"5,624,437",2.88,"8,447,834",0.5,"9,526,618",0.64,"5,262,035",0.02,"2,526,839",0,"5,065,092",0.25,"947,922",0.03,"1,062,282",1.25,"2,356,272",0,"759,745",0,"12,763,364",0,"2,195,410",0,"32,953,841",0,"5,756,018",0,"717,875",0,"16,819,899",0,"2,696,139",0.16,"5,265,968",0,"14,415,328",1.54,"1,470,498",0.53,"3,331,620",0,"535,467",0,"3,239,382",1,"18,579,958",0.21,"1,706,626",0,"380,238",0,"5,763,521",0.86,"7,021,509",0.09,"1,442,408",0.46,"5,702,800",0,"761,738",0
132,          Unemployment compensation,"33,351,774",0,"223,151",0,"129,736",0,"314,073",0,"247,482",0,"5,675,924",0,"519,595",0,"746,856",0,"81,005",0,"132,726",0,"632,493",0,"463,325",0,"178,339",0,"112,387",0,"1,890,947",0,"377,759",0,"404,674",0,"290,349",0,"348,801",0,"183,662",0,"128,476",0,"628,053",0,"1,617,582",0,"874,143",0,"774,496",0,"123,114",0,"365,140",0,"108,173",0,"93,300",0,"371,899",0,"74,006",0,"2,200,044",0,"194,648",0,"2,530,138",0,"346,678",0,"127,939",0,"1,005,249",0,"271,902",0,"537,965",0,"2,263,379",0,"169,390",0,"156,864",0,"26,215",0,"304,801",0,"2,467,411",0,"176,367",0,"77,421",0,"451,964",0,"1,012,283",0,"210,875",0,"631,630",0,"76,945",0
133,          Employee retirement,"275,405,912",0.15,"3,457,157",0.04,"1,162,350",0,"4,170,107",0.02,"1,680,653",0.06,"47,245,778",0.24,"4,707,374",1.09,"4,379,624",2.42,"663,452",0.32,"349,778",0,"10,252,650",1.83,"6,704,934",1.71,"1,181,253",0,"798,011",0,"16,847,348",0.45,"2,649,599",0.15,"1,983,477",0,"1,677,139",0,"3,722,108",0.11,"4,259,040",0.26,"907,742",0,"4,761,736",3.4,"6,540,893",0.65,"8,640,008",0.71,"4,436,708",0.03,"2,403,725",0,"4,610,412",0.28,"718,587",0.03,"968,122",1.37,"1,984,373",0,"685,739",0,"9,832,581",0,"1,985,205",0,"28,959,762",0,"5,409,340",0,"341,851",0,"14,742,961",0,"2,237,465",0.2,"4,430,191",0,"11,852,964",1.88,"1,120,392",0.69,"3,086,202",0,"507,387",0,"2,934,581",1.1,"15,738,494",0.24,"1,340,867",0,"302,817",0,"5,307,579",0.94,"3,963,080",0.15,"1,198,192",0.56,"5,069,116",0,"495,008",0
134,          Workers' compensation,"9,786,034",0,0,0,"4,285",0,0,0,"15,100",0,"1,511,574",0,"442,038",0,"28,411",0,"5,224",0,0,0,"73,868",0,0,0,0,0,"137,145",0,"15,589",0,"6,431",0,"7,519",0,"4,577",0,"200,652",0,"97,269",0,0,0,"184,637",0,"53,196",0,"12,467",0,"50,831",0,0,0,"89,540",0,"121,162",0,860,0,0,0,0,0,"209,996",0,"15,557",0,"1,463,941",0,0,0,"248,085",0,"1,071,689",0,"186,772",0,"297,812",0,"298,985",0,"1,654",0,"88,554",0,"1,865",0,0,0,"374,053",0,"189,392",0,0,0,"3,978",0,"2,046,146",0,"33,341",0,"2,054",0,"189,785",0
135,          Other insurance trust,"6,564,951",0,0,0,0,0,0,0,0,0,"5,386,930",0,"11,357",0,0,0,0,0,0,0,0,0,"62,677",0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,"117,725",0,0,0,"50,011",0,"236,163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"520,743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"179,062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,            Debt outstanding,"2,988,463,220",0.17,"29,484,583",2.78,"9,237,957",0.08,"48,341,165",0.37,"15,614,229",1.38,"421,315,510",0.8,"55,871,578",1.64,"46,372,349",0.12,"7,625,280",0,"13,938,989",0,"139,994,455",0.88,"55,088,919",0.89,"14,796,605",0,"6,341,811",1.05,"147,788,893",0.43,"51,000,519",0.43,"18,593,876",1.16,"27,301,501",0.59,"38,891,074",0.86,"39,498,046",1.81,"7,921,464",0.71,"51,070,229",0.08,"90,576,701",0.17,"76,607,004",0.62,"51,364,942",0.62,"14,267,220",0.98,"46,938,054",1.14,"5,151,531",0.44,"15,497,965",1.36,"28,271,924",0.04,"10,797,158",0.12,"100,438,603",0.49,"15,518,137",0.18,"352,648,620",0.18,"48,743,077",0.81,"6,072,378",2.25,"85,589,105",2.11,"19,096,694",1.37,"35,065,161",0.69,"127,795,178",0.96,"11,609,592",0.03,"41,911,462",0.24,"5,856,143",0.31,"45,820,752",0.74,"277,290,993",0.63,"20,602,808",1.85,"4,662,143",1.64,"65,116,075",0.67,"81,290,718",0.62,"11,511,553",0.44,"44,282,060",0.75,"1,980,437",1.24
137,Short-term,"34,621,003",0.87,"305,769",3.3,"203,250",0,"235,640",0,"2,297",24.65,"807,706",0,"73,481",11.25,"655,037",0.81,0,0,"91,200",0,"76,113",0,"418,939",5.2,0,0,"12,751",0,"1,145,769",0,"427,570",0.55,"45,657",1.75,"426,497",1.17,"58,664",4.32,"21,669",0,"6,266",34.16,"881,911",0.07,"1,608,134",2.87,"1,404,381",0.25,"115,731",0,"81,254",0,"94,757",0,"3,328",0,"589,799",0,"420,641",0,"7,691",0,"2,793,621",6.75,"52,887",0,"7,549,752",2.89,"106,623",14.76,"4,487",0,"1,346,436",4.38,"86,058",0,"65,968",0.05,"421,784",0.92,"68,711",0,"499,825",4.11,"3,014",0,"908,782",0,"8,881,533",0.15,"118,899",0.07,"200,189",2.03,"203,396",3.39,"424,261",0.64,"7,728",0,"652,408",0.35,"2,739",0
138,Long-term,"2,953,842,217",0.17,"29,178,814",2.81,"9,034,707",0.08,"48,105,525",0.37,"15,611,932",1.38,"420,507,804",0.8,"55,798,097",1.64,"45,717,312",0.12,"7,625,280",0,"13,847,789",0,"139,918,342",0.88,"54,669,980",0.89,"14,796,605",0,"6,329,060",1.05,"146,643,124",0.43,"50,572,949",0.43,"18,548,219",1.16,"26,875,004",0.6,"38,832,410",0.86,"39,476,377",1.81,"7,915,198",0.71,"50,188,318",0.08,"88,968,567",0.17,"75,202,623",0.63,"51,249,211",0.62,"14,185,966",0.98,"46,843,297",1.14,"5,148,203",0.44,"14,908,166",1.42,"27,851,283",0.04,"10,789,467",0.12,"97,644,982",0.47,"15,465,250",0.19,"345,098,868",0.17,"48,636,454",0.81,"6,067,891",2.25,"84,242,669",2.15,"19,010,636",1.38,"34,999,193",0.69,"127,373,394",0.97,"11,540,881",0.03,"41,411,637",0.24,"5,853,129",0.31,"44,911,970",0.75,"268,409,460",0.65,"20,483,909",1.86,"4,461,954",1.71,"64,912,679",0.67,"80,866,457",0.62,"11,503,825",0.44,"43,629,652",0.76,"1,977,698",1.24
139,     Public debt for private purposes,"566,084,290",0.42,"1,227,208",1.82,"3,346,176",0,"9,329,410",0.94,"4,137,676",4.63,"42,489,406",2.7,"12,637,981",1.63,"12,502,655",0,"1,924,399",0,"928,432",0,"17,736,339",1.87,"6,604,531",4.57,"347,799",0,"2,673,577",0,"28,164,799",0.49,"14,904,430",0.28,"2,078,077",2.37,"8,365,467",0.76,"14,280,190",1.96,"14,120,805",0,"2,212,278",0,"12,391,931",0,"20,300,296",0,"15,755,070",1.35,"11,230,492",0.98,"1,556,638",4.68,"16,785,308",0.1,"2,854,565",0.03,"1,201,949",0,"3,182,500",0,"3,964,049",0,"15,736,285",0,"4,570,430",0,"68,908,257",0.58,"11,004,165",0.55,"1,457,887",0,"29,483,028",6.05,"2,154,983",0.84,"6,190,595",0,"37,244,373",0.27,"5,018,290",0,"6,368,770",0.13,"2,564,140",0.07,"14,750,633",0.29,"30,266,375",2.32,"3,811,348",0,"1,440,445",0,"8,912,294",1.34,"10,352,999",0,"4,536,689",0.11,"11,334,239",0.67,"743,632",0
140,Long-term debt issued,"362,593,783",0.26,"4,128,999",2.78,"1,250,472",0.16,"6,655,012",0.61,"2,516,473",0.22,"46,859,326",1.25,"6,053,391",3.57,"6,481,422",0.16,"786,221",0,"1,859,987",0,"10,527,793",2.76,"5,736,554",2.2,"2,562,583",0,"937,357",1.26,"14,068,779",1.34,"5,977,441",1.19,"2,307,472",1.21,"3,292,940",0.4,"3,262,382",4.94,"4,077,088",1.1,"880,433",0.44,"9,431,566",0.03,"8,913,992",0.57,"14,689,434",0.56,"6,210,638",1.45,"1,583,120",1.04,"5,360,684",0.27,"288,932",0.53,"2,767,053",1.82,"3,393,130",0,"1,600,738",0.24,"8,267,727",1.78,"2,260,015",0.2,"38,503,023",0.38,"6,301,238",1.34,"1,608,382",0.29,"8,230,561",0.58,"2,541,780",4.61,"4,993,149",0.52,"16,271,131",1.6,"2,181,598",0,"5,277,816",0.45,"1,031,042",0.14,"4,831,300",0.84,"41,087,864",0.86,"2,937,863",0.77,"454,307",0.87,"9,448,902",0.92,"12,048,506",1.3,"1,146,206",0.05,"8,343,471",1.14,"366,490",0.77
141,Long-term debt retired,"370,231,990",0.32,"5,507,497",1.74,"1,501,880",0.53,"7,225,842",0.42,"1,928,942",1.74,"50,964,565",1.73,"5,988,851",3.89,"4,304,106",0.3,"856,188",0,"1,051,581",0,"16,205,581",2.66,"6,804,332",1.74,"1,999,880",0,"753,417",0.64,"14,395,494",1.11,"4,624,874",0.54,"2,555,862",1.47,"2,130,332",1.07,"3,995,237",0.69,"4,338,648",1.07,"1,472,339",0.55,"7,555,685",0.04,"7,526,841",0.49,"13,560,801",0.57,"5,363,078",0.91,"1,723,737",1.62,"5,295,869",2.05,"492,586",0.55,"2,547,664",4.28,"4,068,158",0.01,"1,636,337",0.08,"7,429,662",1.16,"2,556,356",0.47,"39,659,974",0.27,"8,423,164",1.07,"1,078,848",1.25,"9,675,546",2.37,"2,516,483",5.13,"5,116,342",0.52,"17,614,031",1.52,"2,604,472",0.01,"5,790,839",0.29,"840,404",0.15,"4,810,724",0.99,"40,104,519",0.75,"2,935,781",0.89,"443,140",0.95,"9,368,846",1.01,"10,724,346",0.89,"1,375,787",0.23,"8,372,757",0.77,"413,765",1.1
